wavelength spec_sum spec_optimal
3422.95 -11.2385 26.5238
3425.88 2.09914 811.497
3428.8 17.7582 721.244
3431.73 16.3342 32.0124
3434.66 -10.6206 -67.1952
3437.59 -3.83288 72.381
3440.52 36.1681 292.538
3443.45 33.3408 244.02
3446.38 35.3823 -348.078
3449.3 -23.9168 220.561
3452.23 -18.0324 203.22
3455.16 5.75995 -124.535
3458.09 -26.7956 -406.794
3461.02 -11.3423 239.679
3463.95 17.5417 -45.5884
3466.88 -6.3261 -184.971
3469.8 -24.7655 -71.4148
3472.73 28.356 78.2975
3475.66 -53.8948 -52.3978
3478.59 -58.1269 -162.224
3481.52 -12.0318 270.821
3484.44 9.95767 -117.315
3487.37 10.3778 17.6857
3490.3 -33.9472 209.268
3493.23 -42.911 378.951
3496.16 -66.1569 246.765
3499.08 1.02465 -97.3763
3502.01 -9.38874 -48.7856
3504.94 0.0990009 141.608
3507.87 -11.0644 50.4119
3510.8 5.01851 -140.247
3513.72 15.1548 26.6581
3516.65 32.2089 -358.054
3519.58 31.527 -169.926
3522.51 27.8539 7.47608
3525.43 15.0453 11.8664
3528.36 31.1939 -107.053
3531.29 31.6601 407.767
3534.22 54.1765 156.156
3537.14 74.0571 837.946
3540.07 46.376 283.158
3543 26.8647 -33.3625
3545.92 34.0704 464.752
3548.85 17.158 150.115
3551.78 34.9458 -391.744
3554.71 -5.7749 -406.978
3557.63 34.2517 106.024
3560.56 44.4715 188.387
3563.49 -46.7235 -212.79
3566.41 -16.7585 5.72733
3569.34 43.1559 -67.3645
3572.27 7.57281 107.627
3575.19 13.7088 -106.27
3578.12 -28.7102 -367.229
3581.05 -14.0853 345.084
3583.97 13.7198 91.5601
3586.9 14.7779 62.7601
3589.83 18.2202 329.019
3592.75 -39.3691 174.991
3595.68 35.0761 84.3521
3598.61 42.0105 -148.451
3601.53 12.0192 -28.5858
3604.46 -14.408 237.671
3607.38 -24.7483 163.792
3610.31 44.5022 152.49
3613.24 23.9557 44.026
3616.16 28.2779 159.257
3619.09 17.7472 171.464
3622.01 49.5253 370.633
3624.94 -5.61709 -35.8295
3627.87 33.3625 31.6492
3630.79 31.7675 270.133
3633.72 78.2116 134.743
3636.64 27.6632 657.831
3639.57 100.865 522.006
3642.49 43.1334 268.348
3645.42 33.2964 147.292
3648.35 47.7364 371.98
3651.27 67.3461 349.493
3654.2 35.718 229.704
3657.12 49.8371 140.297
3660.05 1.80836 69.5068
3662.97 -22.2198 -233.757
3665.9 50.5957 -198.141
3668.82 -32.7719 -118.036
3671.75 -30.4126 -191.639
3674.67 0.713848 -156.593
3677.6 -1.1791 -665.041
3680.52 -19.4635 -291.104
3683.45 -10.5994 -244.387
3686.37 -35.3616 -148.823
3689.3 -16.3795 29.4857
3692.22 32.1083 310.027
3695.15 1.58533 -30.4512
3698.07 -2.11024 38.2686
3701 -2.08769 87.0471
3703.92 34.4625 190.471
3706.85 -0.456621 151.727
3709.77 11.7431 -64.3756
3712.7 -16.0193 30.8298
3715.62 -23.8391 -25.3823
3718.55 12.2183 127.826
3721.47 2.14198 377.49
3724.39 16.7064 62.2953
3727.32 26.4493 18.964
3730.24 -18.9975 308.157
3733.17 9.55902 -75.2171
3736.09 22.5369 -44.5692
3739.02 37.3024 135.283
3741.94 36.5997 -17.9924
3744.86 28.2223 -116.983
3747.79 29.0424 23.1314
3750.71 0.323783 43.9899
3753.64 30.0681 277.46
3756.56 -1.54341 -166.589
3759.48 6.00037 177.306
3762.41 5.12041 -68.3943
3765.33 -53.6015 -15.1836
3768.25 2.42916 33.6751
3771.18 53.6042 148.156
3774.1 -25.614 119.607
3777.02 24.7255 -1.73712
3779.95 0.0568638 -279.852
3782.87 -36.6148 -225.948
3785.79 10.3339 239.326
3788.72 -3.37475 -140.898
3791.64 30.3711 8.77624
3794.56 -13.154 -174.862
3797.49 5.56557 -61.6807
3800.41 8.04959 163.163
3803.33 16.4068 0.971681
3806.26 6.64597 276.186
3809.18 44.4212 106.346
3812.1 17.744 148.533
3815.03 12.4581 156.262
3817.95 27.9049 -66.1
3820.87 32.2887 215.819
3823.79 8.98772 -81.7903
3826.72 25.2952 106.242
3829.64 34.7512 152.308
3832.56 18.0211 159.225
3835.48 7.55899 50.2826
3838.41 5.33012 15.2366
3841.33 16.4105 -40.3481
3844.25 5.84417 297.261
3847.17 10.7288 -27.7636
3850.1 0.415387 -231.6
3853.02 -17.0506 -5.3774
3855.94 32.7281 39.6836
3858.86 13.1696 292.895
3861.78 -4.3089 8.37146
3864.71 26.9374 137.759
3867.63 8.00988 -142.662
3870.55 -3.09699 88.9676
3873.47 17.3087 272.733
3876.39 14.7852 -90.2611
3879.31 -21.4575 -100.986
3882.24 -29.7802 -116.209
3885.16 3.624 88.0902
3888.08 -22.5992 -127.234
3891 -28.5773 166.715
3893.92 16.9601 -70.9735
3896.84 -4.30849 11.5705
3899.77 -7.47177 313.987
3902.69 -3.96809 -369.712
3905.61 0.917004 56.2394
3908.53 15.7811 -60.6911
3911.45 7.89619 -24.6947
