wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal
3402.81 27.6663 4.39015 -26.1954 -4.34238
3405.73 -14.4958 -19.6196 13.1683 -14.0496
3408.66 -72.0292 -67.1484 -29.1216 -28.6616
3411.59 -114.92 -63.0257 -70.0313 -70.4715
3414.52 -2.12774 -8.03779 -112.262 -23.2155
3417.44 92.9345 53.4865 112.646 2.60927
3420.37 69.6526 18.92 7.44314 -33.0975
3423.3 -105.827 -52.7494 -219.382 -42.8252
3426.22 -122.074 -115.62 83.4631 -24.3346
3429.15 -118.959 -80.0758 62.9149 34.5213
3432.08 0.804942 -55.6292 -42.814 -10.1389
3435.01 -48.734 -32.7809 -50.5174 -46.1035
3437.93 -50.4137 -66.9461 -44.9791 -28.1496
3440.86 -101.691 3.50174 11.0478 8.22978
3443.79 162.61 18.3847 58.6207 11.7837
3446.71 -5.76485 61.4241 -34.3174 32.0567
3449.64 27.4276 11.2338 71.8669 13.7418
3452.57 12.0385 -17.5227 3.67585 54.57
3455.49 -92.0342 -13.0077 88.1671 4.60909
3458.42 40.9726 -10.708 -78.0156 31.1463
3461.35 18.9376 2.74779 83.2875 -3.93317
3464.27 -51.6669 -36.9919 -17.0713 20.4998
3467.2 -78.2465 -67.519 -4.71684 -8.3718
3470.13 -72.6436 -43.4644 -3.32723 -10.9611
3473.05 20.4969 -81.9069 -24.8391 -14.5869
3475.98 -193.574 -61.6059 -15.5942 -32.4081
3478.91 -11.7405 -76.2246 -56.791 11.2597
3481.83 -23.3595 -3.70612 106.164 -37.6061
3484.76 23.9816 -4.44228 -162.192 -51.9538
3487.69 -13.949 -35.0421 -99.834 -110.907
3490.61 -115.159 -64.3555 -70.6961 -19.0519
3493.54 -63.9587 -79.5445 113.374 1.96297
3496.46 -59.5159 -68.8132 -36.7893 -9.41274
3499.39 -82.965 -71.6937 -104.823 -61.582
3502.32 -72.6002 5.64062 -43.1334 -20.872
3505.24 172.487 31.9615 85.3406 4.20254
3508.17 -4.00237 77.124 -29.5996 10.0701
3511.09 62.8873 68.7732 -25.5306 -0.640413
3514.02 147.435 97.1096 53.209 -38.9062
3516.95 81.0069 85.5064 -144.397 -53.6985
3519.87 28.0778 75.4314 -69.9074 -64.9934
3522.8 117.209 82.6086 19.3241 -10.5789
3525.72 102.539 83.0239 18.8466 12.9966
3528.65 29.3236 41.2751 0.819294 55.0741
3531.58 -8.03708 98.6675 145.557 0.265729
3534.5 274.716 100.239 -145.579 26.824
3537.43 34.0367 106.306 80.4942 -46.1433
3540.35 10.1665 -0.179788 -73.3454 -18.2161
3543.28 -44.7426 -49.1855 -61.7971 -5.33835
3546.2 -112.98 -77.1396 119.127 23.8982
3549.13 -73.6957 -82.3022 14.3642 22.6861
3552.05 -60.2305 1.35078 -65.4333 -67.2536
3554.98 137.979 36.4894 -150.692 -59.1967
3557.91 31.7203 106.362 38.535 5.63327
3560.83 149.387 43.282 129.057 47.8782
3563.76 -51.2617 22.647 -23.9571 30.0953
3566.68 -30.1849 4.46479 -14.8136 -14.8131
3569.61 94.8409 4.02263 -5.66856 8.01884
3572.53 -52.5881 73.5882 44.5387 12.6374
3575.46 178.512 96.3876 -0.957965 -40.9841
3578.38 163.239 57.7295 -166.533 -41.9104
3581.31 -168.562 -17.7967 41.7597 -32.9843
3584.23 -48.0668 -107.587 25.8203 6.43857
3587.16 -106.13 -100.872 -48.2643 -0.230293
3590.08 -148.419 -134.808 21.7531 -17.2705
3593.01 -149.875 -79.8824 -25.3003 -24.1344
3595.93 58.6469 51.0543 -68.8561 -64.0703
3598.86 244.392 86.5937 -98.0544 -70.388
3601.78 -43.2574 89.7792 -44.2535 -47.4407
3604.71 68.2034 -20.127 -0.0140136 -60.3664
3607.63 -85.327 -21.3976 -136.832 -53.4222
3610.56 -47.0691 -38.43 -23.421 -75.3653
3613.48 17.1061 -59.2307 -65.8431 -26.2516
3616.4 -147.729 -62.1575 10.5093 -21.3559
3619.33 -55.8495 -96.4178 -8.73394 14.4863
3622.25 -85.6748 -108.469 41.6835 -9.59277
3625.18 -183.884 -97.1565 -61.7279 30.4942
3628.1 -21.9105 -23.4806 111.527 18.2161
3631.03 135.353 44.3677 4.84919 15.8384
3633.95 19.6607 51.4721 -68.861 -33.0016
3636.88 -0.59725 53.4516 -34.993 -32.3427
3639.8 141.291 29.0909 6.8258 24.0754
3642.72 -53.4215 55.4041 100.393 13.9427
3645.65 78.3423 24.7308 -65.391 20.9028
3648.57 49.2717 65.3509 27.7059 -25.0271
3651.5 68.4387 69.0157 -37.3963 -11.8372
3654.42 89.3368 100.022 -25.8212 -39.3821
3657.34 142.29 84.7439 -54.9287 -33.4626
3660.27 22.6053 60.3071 -19.6379 -66.3967
3663.19 16.0263 67.9997 -124.624 -55.1537
3666.12 165.367 58.2277 -21.1997 -22.7863
3669.04 -6.71081 114.378 77.4644 -19.8029
3671.96 184.476 129.091 -115.673 -37.1479
3674.89 209.507 229.67 -73.2347 -80.5999
3677.81 295.025 250.11 -52.8915 -33.1669
3680.73 245.797 169.609 26.6255 3.64862
3683.66 -31.9953 130.069 37.2119 33.0583
3686.58 176.405 82.4724 35.3377 0.623924
3689.51 103.008 79.1209 -70.6778 27.9974
3692.43 -42.0497 65.0851 119.332 23.9174
3695.35 134.298 55.4267 23.0977 68.3717
3698.28 74.0324 110.919 62.6851 22.7229
3701.2 124.426 136.847 -17.6143 29.0391
3704.12 212.083 61.0853 42.0463 -9.31285
3707.05 -153.253 23.1223 -52.3706 -57.5784
3709.97 10.5369 42.1821 -162.411 -69.573
3712.89 269.262 63.0203 6.0625 -61.8035
3715.81 -90.7385 102.061 -29.0621 -12.5486
3718.74 127.658 72.2181 -14.6461 -22.3021
3721.66 179.734 105.384 -23.198 -37.2103
3724.58 8.75975 107.108 -73.7869 -34.3357
3727.51 132.83 77.7991 -6.0223 -35.8829
3730.43 91.8074 120.583 -27.8395 -78.6396
3733.35 137.111 154.125 -202.057 -84.8602
3736.28 233.458 250.382 -24.6841 -58.4898
3739.2 380.577 300.963 51.2718 -22.586
3742.12 288.854 266.666 -94.3455 -61.7504
3745.04 130.567 201.008 -142.178 -41.9725
3747.97 183.602 152.401 110.606 -41.7361
3750.89 143.036 115.685 -93.6363 52.1453
3753.81 20.4172 106.166 139.467 -50.4191
3756.73 155.044 128.868 -197.088 -49.6379
3759.66 211.143 143.585 -91.2929 -108.482
3762.58 64.5678 97.88 -37.0644 -61.4509
3765.5 17.9295 119.499 -55.9954 -18.698
3768.42 276.001 245.829 36.9659 -7.62074
3771.35 443.557 206.456 -3.83264 -39.3077
3774.27 -100.191 215.02 -151.056 -92.7929
3777.19 301.696 56.6869 -123.49 -129.119
3780.11 -31.4435 92.2776 -112.812 -173.041
3783.03 6.58061 78.0806 -282.822 -133.939
3785.96 259.105 59.8047 -6.18252 -183.791
3788.88 -86.2714 33.334 -262.368 -60.1802
3791.8 -72.8314 45.176 88.0095 -102.837
3794.72 294.631 40.717 -134.154 -40.8808
3797.64 -99.6484 83.8318 -76.4983 -71.1062
3800.57 56.5131 -15.2345 -2.6666 -31.9201
3803.49 -2.56828 -11.4746 -16.5954 39.9019
3806.41 -88.3687 35.0296 138.968 73.996
3809.33 196.026 79.4802 99.6157 128.187
3812.25 130.783 128.876 145.978 88.8551
3815.17 59.8193 117.62 20.9716 6.2022
3818.1 162.257 132.999 -148.343 -47.1087
3821.02 176.922 132.497 -13.9545 -127.146
3823.94 58.3131 145.521 -219.141 -94.5564
3826.86 201.329 141.674 -50.574 -78.2662
3829.78 165.379 187.173 34.9159 -24.5527
3832.7 194.811 144.743 -57.9999 -9.12876
3835.62 74.0385 92.421 -4.30234 -35.5961
3838.55 8.41378 50.895 -44.486 -8.57291
3841.47 70.2329 74.5438 23.0696 52.6083
3844.39 144.985 86.4208 179.241 55.0956
3847.31 44.0447 81.6364 -37.0241 33.8154
3850.23 55.8797 50.6739 -40.7709 -47.8947
3853.15 52.0973 87.4731 -65.8891 -42.5136
3856.07 154.442 48.7386 -20.8809 -14.5302
3858.99 -60.3237 65.1779 43.1792 -93.2893
3861.91 101.415 62.1878 -302.166 -118.689
3864.83 145.472 82.5338 -97.0798 -193.082
3867.76 0.714519 54.675 -180.001 -70.5195
3870.68 17.8385 92.6386 65.5224 -19.6643
3873.6 259.363 146.727 55.4861 -42.0126
3876.52 162.98 111.769 -247.046 -113.259
3879.44 -87.0356 -25.2563 -148.216 -156.462
3882.36 -151.713 -44.8392 -74.1243 -65.0046
3885.28 104.231 -57.2548 27.3269 -35.0853
3888.2 -124.283 -11.9733 -58.4585 -7.69053
3891.12 -15.8685 -11.6827 8.06003 -56.0917
3894.04 105.103 23.3234 -117.877 -13.7209
3896.96 -19.2645 -1.70205 68.6538 -11.0256
3899.88 -90.9447 16.5874 16.1459 -75.1475
3902.8 159.971 7.78129 -310.242 -93.2007
3905.72 -45.6828 49.0854 14.4942 -94.6304
3908.64 32.9677 74.9195 11.8568 -4.54747
3911.56 237.474 22.0696 -39.9934 -79.0329
3914.48 -204.232 13.6485 -208.962 -34.8423
3917.4 7.70421 -69.1877 144.429 -81.7963
3920.32 -11.0349 22.1659 -180.856 38.8466
3923.24 69.8285 49.8946 152.967 -38.2561
3926.16 90.8902 117.071 -86.8798 62.1274
3929.08 190.496 141.88 120.295 -43.7463
3932 144.254 83.9079 -164.654 19.6523
3934.92 -83.0259 -43.7167 103.316 58.8795
3937.84 -192.378 -88.3074 237.977 123.433
3940.76 10.4819 -26.5507 29.007 8.44262
3943.68 102.244 106.123 -241.656 -89.1954
3946.6 205.643 154.803 -54.9374 -110.582
3949.52 156.522 141.609 -35.1524 -134.881
3952.44 62.6621 118.13 -314.554 -168.112
3955.36 135.206 117.039 -154.628 -241.092
3958.27 153.249 111.2 -254.093 -126.274
3961.19 45.1467 57.8752 29.8978 -109.156
3964.11 -24.7698 43.2538 -103.272 -57.1717
3967.03 109.384 49.6023 -98.1405 -56.2064
3969.95 64.1923 110.072 32.7937 -79.5746
3972.87 156.64 166.625 -173.377 -94.5624
3975.79 279.043 215.005 -143.104 -133.044
3978.71 209.331 187.545 -82.6497 -95.0012
3981.63 74.2616 143.03 -59.2499 -130.318
3984.55 145.498 153.414 -249.055 -150.969
3987.46 240.482 180.04 -144.602 -156.138
3990.38 154.139 186.658 -74.7569 -144.918
3993.3 165.353 192.874 -215.396 -123.33
3996.22 259.13 197.864 -79.8372 -180.596
3999.14 169.108 307.973 -246.555 -231.272
4002.06 495.681 365.978 -367.424 -168.051
4004.98 433.146 478.421 109.827 -123.707
4007.89 506.436 361.454 -113.523 -15.3972
4010.81 144.779 379.184 -42.496 -102.97
4013.73 486.338 314.118 -152.89 -135.643
4016.65 311.239 387.502 -211.544 -122.877
4019.57 364.93 292.354 -4.19576 -105.684
4022.49 200.894 373.901 -101.313 -109.261
4025.4 555.878 318.529 -222.275 -179.305
4028.32 198.814 327.285 -214.328 -187.775
4031.24 227.163 153.598 -126.721 -181.824
4034.16 34.8162 168.346 -204.422 -79.0187
4037.08 243.057 187.933 94.0862 -46.8335
4039.99 285.926 227.819 -30.165 -50.9661
4042.91 154.474 136.974 -216.82 -84.0907
4045.83 -29.4775 153.702 -5.28767 -204.394
4048.75 336.108 283.794 -391.076 -155.695
4051.66 544.751 397.115 -70.7226 -221.409
4054.58 310.485 431.271 -202.428 -150.991
4057.5 438.576 305.609 -179.822 -134.262
4060.42 167.765 344.712 -20.5372 -71.7118
4063.33 427.796 320.568 -14.7759 -76.4239
4066.25 366.142 388.806 -193.959 -70.2843
4069.17 372.481 367.077 -2.1183 -89.8542
4072.09 362.608 255.485 -73.4855 -23.9271
4075 31.3671 270.293 3.82247 6.36708
4077.92 416.904 190.727 88.7643 -55.7947
4080.84 123.911 264.618 -259.971 -142.779
4083.76 253.039 186.156 -257.131 -192.634
4086.67 181.518 200.912 -60.7997 -60.4451
4089.59 168.18 142.645 136.596 -5.65717
4092.51 78.2385 186.82 -92.7675 81.7619
4095.42 314.042 156.054 201.457 68.1701
4098.34 75.881 296.512 95.8205 -3.47493
4101.26 499.612 239.502 -307.703 -74.9604
4104.17 143.013 317.75 -12.9989 -107.436
4107.09 310.624 225.758 -1.60779 -122.838
4110.01 223.638 243.85 -353.909 -226.905
4112.92 197.289 315.622 -325.199 -343.987
4115.84 525.94 301.543 -352.853 -319.048
4118.76 181.401 278.5 -279.092 -250.827
4121.67 128.16 193.364 -120.536 -187.453
4124.59 270.532 264.255 -162.732 -166.134
4127.5 394.072 432.885 -215.135 -156.524
4130.42 634.05 420.38 -91.7065 -122.522
4133.34 233.019 419.139 -60.7238 -105.402
4136.25 390.35 340.382 -163.775 -158.902
4139.17 397.777 375.558 -252.208 -187.771
4142.09 338.548 416.059 -147.331 -295.768
4145 511.852 398.314 -487.764 -229.847
4147.92 344.541 368.206 -54.4468 -230.957
4150.83 248.224 312.915 -150.661 -136.503
4153.75 345.98 346.252 -204.402 -144.832
4156.66 444.553 455.116 -79.4329 -113.445
4159.58 574.815 473.015 -56.4983 -42.0842
4162.5 399.675 432.536 9.67859 77.2214
4165.41 323.119 343.674 278.484 19.3712
4168.33 308.228 397.618 -230.049 -27.8201
4171.24 561.507 462.074 -131.895 -208.021
4174.16 516.487 527.62 -262.117 -125.859
4177.07 504.865 488.576 16.4353 -55.891
4179.99 444.376 398.015 78.009 -9.00433
4182.9 244.805 366.857 -121.457 -25.2757
4185.82 411.391 282.426 -32.3787 -112.648
4188.73 191.083 281.695 -184.107 -140.258
4191.65 242.612 288.112 -204.288 -201.447
4194.56 430.64 305.334 -215.947 -175.665
4197.48 242.75 419.23 -106.76 -73.4461
4200.39 584.301 391.825 102.369 35.1005
4203.31 348.425 481.059 109.692 92.8156
4206.22 510.449 422.401 66.3858 114.437
4209.14 408.328 548.123 167.233 67.5068
4212.05 725.591 531.866 -31.0989 8.5749
4214.97 461.679 565.926 -110.41 -132.165
4217.88 510.507 357.049 -254.986 -85.2648
4220.8 98.959 278.319 109.601 -99.4262
4223.71 225.49 215.152 -152.894 -142.203
4226.62 321.007 346.699 -383.315 -169.732
4229.54 493.599 460.985 27.012 -107.382
4232.45 568.348 435.315 34.1582 -21.4367
4235.37 243.997 422.211 -125.48 -28.1214
4238.28 454.288 321.634 6.95809 -7.24534
4241.2 266.617 416.089 96.7863 116.768
4244.11 527.362 419.903 246.56 130.95
4247.02 465.729 513.878 49.5049 28.1344
4249.94 548.543 517.528 -211.661 -69.4391
4252.85 538.313 627.923 -46.161 -117.614
4255.77 796.913 562.727 -95.0209 -100.223
4258.68 352.956 491.434 -159.487 -93.61
4261.59 324.433 336.993 -26.322 -123.596
4264.51 333.591 462.474 -184.979 -88.123
4267.42 729.397 503.466 -53.0678 -87.6704
4270.33 447.409 637.002 -24.9642 -86.1296
4273.25 734.199 612.277 -180.357 -169.726
4276.16 655.224 520.194 -303.856 -124.641
4279.07 171.159 473.513 110.291 -111.105
4281.99 594.157 460.6 -139.749 -78.6451
4284.9 616.485 373.076 -206.477 -101.808
4287.81 -91.4123 315.75 40.8031 -61.4959
4290.73 422.177 340.742 -18.8133 2.67775
4293.64 691.46 473.417 -13.9565 -115.388
4296.55 306.614 441.862 -313.394 -138.588
4299.47 327.51 330.407 -88.4142 -102.631
4302.38 357.095 297.382 93.9143 -17.7283
4305.29 207.539 354.916 -58.685 9.29629
4308.2 500.113 317.201 -7.34042 -112.424
4311.12 243.951 266.142 -271.247 -157.245
4314.03 54.3625 175.133 -193.147 -196.199
4316.94 227.085 165.195 -124.202 -142.661
4319.85 214.136 288.987 -110.634 -174.61
4322.77 425.74 248.349 -288.994 -180.902
4325.68 105.172 324.25 -143.078 -196.885
4328.59 441.837 268.125 -158.582 -187.242
4331.5 257.367 333.642 -260.065 -203.013
4334.42 301.721 215.331 -190.391 -216.112
4337.33 86.9034 297.538 -197.88 -119.425
4340.24 503.988 362.746 29.9955 -87.7542
4343.15 497.345 439.795 -95.378 -43.7364
4346.06 318.052 370.893 -65.8267 -97.1098
4348.98 297.281 397.733 -130.125 -115.018
4351.89 577.866 486.562 -149.104 -89.6382
4354.8 584.538 495.619 10.3141 -59.1127
4357.71 324.453 397.845 -38.5479 -10.7018
4360.62 284.544 313.75 -3.87167 -30.1511
4363.53 332.254 320.777 -48.0337 -58.4766
4366.45 345.532 381.189 -123.524 -121.584
4369.36 465.781 455.052 -193.195 -129.373
4372.27 553.843 582.3 -71.4001 -85.5508
4375.18 727.275 606.228 7.94308 -30.9613
4378.09 537.566 652.574 -29.4269 -40.1046
4381 692.88 587.458 -98.8299 -103.92
4383.91 531.929 518.271 -183.502 -109.546
4386.83 330.004 558.068 -46.3049 -98.4258
4389.74 812.27 519.006 -65.47 -47.822
4392.65 414.744 693.42 -31.6911 -43.7502
4395.56 853.245 616.227 -34.0894 -50.7453
4398.47 580.691 657.218 -86.4555 26.77
4401.38 537.719 528.693 200.855 47.5877
4404.29 467.669 410.226 28.3636 59.0044
4407.2 225.292 441.645 -52.2054 -39.3739
4410.11 631.975 461.165 -94.2799 -4.26845
4413.02 526.229 636.62 133.68 27.4531
4415.93 751.657 521.982 42.9594 73.5904
4418.84 288.06 473.678 44.1318 10.2494
4421.75 381.319 546.95 -56.3431 -51.3888
4424.66 971.472 637.132 -141.955 -117.824
4427.57 558.605 596.025 -155.174 -147.903
4430.48 257.999 463.072 -146.581 -90.0832
4433.4 572.614 377.359 31.5058 -58.8343
4436.31 301.466 535.277 -61.4277 24.791
4439.22 731.75 433.202 104.295 -27.7801
4442.13 266.39 543.591 -126.208 -91.8998
4445.04 632.634 570.181 -253.787 -213.743
4447.94 811.518 689.645 -261.235 -226.263
4450.85 624.784 766.063 -163.768 -54.2741
4453.76 861.887 653.734 262.181 23.0167
4456.67 474.531 742.511 -29.3625 47.7928
4459.58 891.115 751.858 -89.4396 16.5401
4462.49 889.929 805.537 168.422 -50.2954
4465.4 635.567 655.567 -229.869 -95.3579
4468.31 441.204 565.513 -224.627 -180.062
4471.22 619.767 676.774 -85.6888 -116.653
4474.13 969.35 705.159 -39.6425 -32.687
4477.04 526.36 677.544 27.2704 9.6837
4479.95 536.921 425.52 41.4233 25.3833
4482.86 213.28 536.733 7.45613 -94.7377
4485.77 860 507.51 -333.092 -91.7501
4488.68 449.252 644.668 50.3859 -61.4416
4491.58 624.752 662.315 98.3818 -55.3577
4494.49 912.94 747.64 -314.841 -63.7735
4497.4 705.228 706.188 25.1385 -126.018
4500.31 500.395 534.802 -88.3517 -202.746
4503.22 398.781 537.942 -545.025 -233.934
4506.13 714.65 612.667 -68.4259 -112.83
4509.04 724.569 675.13 274.962 146.682
4511.94 586.17 654.897 233.51 94.1404
4514.85 653.951 595.761 -226.051 -40.6625
4517.76 547.161 599.772 -129.447 -153.73
4520.67 598.204 539.645 -105.693 -36.2742
4523.58 473.568 544.038 126.317 39.0259
4526.49 560.342 450.226 96.4535 -80.2075
4529.39 316.767 567.383 -463.393 -128.099
4532.3 825.04 601.808 -17.3573 -207.083
4535.21 663.618 707.019 -140.5 -102.025
4538.12 632.399 637.69 -148.218 -153.902
4541.03 617.054 757.159 -172.988 -125.618
4543.93 1022.02 631.751 -55.6479 -84.9649
4546.84 256.175 561.558 -26.2592 -84.1033
4549.75 406.475 337.404 -170.403 -72.6368
4552.66 349.563 329.805 -21.2486 -46.1385
4555.56 233.377 298.185 53.2357 21.9005
4558.47 311.616 410.026 33.7143 -2.98107
4561.38 685.084 515.057 -95.8932 -67.9915
4564.28 548.471 592.211 -141.796 -151.819
4567.19 543.079 587.367 -217.768 -154.653
4570.1 670.553 555.834 -104.396 -182.947
4573.01 453.872 669.223 -226.676 -12.4261
4575.91 883.245 668.811 293.794 -59.0168
4578.82 669.316 755.914 -244.168 -38.1593
4581.73 715.182 625.247 -164.104 -168.95
4584.63 491.243 627.536 -98.5795 -53.7954
4587.54 676.185 585.709 101.297 -24.715
4590.45 589.698 558.576 -76.8625 -84.0429
4593.35 409.845 529.085 -276.563 -234.663
4596.26 587.711 529.327 -350.563 -197.957
4599.17 590.424 683.057 33.2564 -141.607
4602.07 871.037 643.597 -107.514 -30.8279
4604.98 469.328 765.664 -18.2257 -115.537
4607.88 956.628 798.653 -220.87 -143.548
4610.79 970.002 855.068 -191.548 -157.051
4613.7 638.574 776.641 -58.7342 -60.0711
4616.6 721.347 716.952 70.0688 -2.6058
4619.51 790.936 798.027 -19.1519 159.223
4622.41 881.799 799.486 426.753 139.926
4625.32 725.722 785.603 12.1759 78.3633
4628.23 749.288 732.343 -203.839 -97.2312
4631.13 722.018 726.301 -100.03 -47.8308
4634.04 707.596 638.823 160.377 48.1624
4636.94 486.855 716.596 84.1404 -8.45704
4639.85 955.337 629.012 -269.888 -21.7026
4642.75 444.845 741.616 120.64 -33.5877
4645.66 824.666 688.736 48.4852 151.259
4648.56 796.697 803.281 284.652 176.937
4651.47 788.482 769.247 197.673 102.755
4654.37 722.564 755.613 -174.059 72.3176
4657.28 755.792 706.12 193.338 53.3805
4660.18 640.004 644.735 140.862 26.7215
4663.09 538.409 598.278 -254.036 48.3698
4665.99 616.419 716.266 258.283 0.863042
4668.9 993.97 747.535 -1.65821 223.713
4671.8 632.217 758.789 414.514 82.4027
4674.71 650.18 635.139 -165.648 170.446
4677.61 623.021 650.425 262.471 64.7169
4680.52 678.075 591.57 97.3272 177.906
4683.42 473.612 623.312 173.919 148.505
4686.33 718.25 690.929 174.269 112.86
4689.23 880.926 784.48 -9.60894 15.9383
4692.13 754.264 841.838 -116.845 -148.878
4695.04 890.325 840.706 -320.181 -166.39
4697.94 877.528 833.169 -62.1432 -160.078
4700.85 731.654 808.173 -97.9114 -105.135
4703.75 815.336 724.77 -155.352 -103.695
4706.65 627.32 747.381 -57.8223 -18.0703
4709.56 799.489 731.907 158.963 8.8493
4712.46 768.912 802.01 -74.5929 -33.6799
4715.37 837.63 879.044 -185.41 -77.8571
4718.27 1030.59 1000.92 26.4315 -194.689
4721.17 1134.55 1095.68 -425.089 -281.78
4724.08 1121.89 988.213 -446.683 -270.366
4726.98 708.198 845.606 60.6739 24.7078
4729.88 706.729 760.955 460.133 206.585
4732.79 867.937 795.821 98.9482 259.237
4735.69 812.797 843.213 218.631 102.163
4738.59 848.904 827.517 -11.0894 99.8349
4741.49 820.849 690.517 91.9628 62.0705
4744.4 401.799 638.926 105.338 159.07
4747.3 694.13 570.62 279.911 255.631
4750.2 615.932 692.606 381.643 260.306
4753.11 767.756 717.871 119.365 140.963
4756.01 769.924 828.541 -78.1199 1.82074
4758.91 947.942 785.524 -35.7834 -58.055
4761.81 638.705 824.069 -60.2619 -106.775
4764.72 885.558 694.538 -224.28 -163.636
4767.62 559.35 728.487 -206.366 -86.2699
4770.52 740.552 668.147 171.836 -28.282
4773.42 704.539 840.688 -50.3166 -94.0604
4776.32 1076.97 825.397 -403.701 -153.238
4779.23 694.68 799.879 -5.69708 -79.8603
4782.13 627.984 670.255 169.817 29.1844
4785.03 688.1 622.824 -76.5669 115.79
4787.93 552.389 670.885 254.12 -38.3747
4790.83 772.167 794.739 -292.678 30.3577
4793.74 1059.66 759.051 129.63 -5.29921
4796.64 445.323 676.318 147.15 165.207
4799.54 523.971 555.605 218.841 34.6188
4802.44 697.522 514.534 -262.135 -7.1731
4805.34 322.11 451.362 21.7741 -79.948
4808.24 334.452 426.341 0.516475 -117.15
4811.14 622.461 468.382 -373.741 -308.086
4814.04 448.234 611.898 -551.034 -299.14
4816.95 764.999 581.624 27.3547 -276.083
4819.85 531.638 696.599 -304.568 -155.274
4822.75 793.159 706.408 -188.608 -344.173
4825.65 794.426 700.502 -539.342 -98.9051
4828.55 513.922 548.438 431.235 -13.5738
4831.45 336.966 370.376 67.386 255.423
4834.35 260.242 281.414 267.647 205.645
4837.25 247.035 247.379 281.901 245.334
4840.15 234.861 308.326 186.452 164.649
4843.05 443.083 373.783 25.595 76.0017
4845.95 443.404 362.663 15.9579 -91.4811
4848.85 201.502 353.61 -315.996 -207.854
4851.75 415.924 279.503 -323.524 -261.698
4854.65 221.084 468.479 -145.573 -174.91
4857.55 768.43 523.233 -55.634 15.8018
4860.45 580.186 619.877 248.613 -9.86613
4863.35 511.017 551.957 -222.577 47.7908
4866.25 564.668 620.483 117.337 51.749
4869.15 785.763 634.454 260.487 211.552
4872.05 552.931 793.148 256.832 205.369
4874.95 1040.75 723.871 98.7864 271.959
4877.85 577.933 802.688 460.258 148.902
4880.75 789.383 758.761 -112.337 170.588
4883.65 908.968 838.668 163.844 -31.7677
4886.55 817.651 817.092 -146.81 40.547
4889.45 724.658 882.942 104.607 -65.7365
4892.35 1106.52 950.192 -155.006 46.7201
