wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal
3402.44 -18.2064 -4.45187 -90.2292 -52.7463
3405.37 4.85081 -25.4439 -68.0097 -183.312
3408.3 -62.9761 -17.6911 -391.698 -279.337
3411.23 5.05212 -15.0411 -378.304 -287.649
3414.16 12.8007 16.3634 -92.9436 -8.9289
3417.09 31.2375 29.5247 444.461 -85.3214
3420.02 44.536 23.1541 -607.481 -142.667
3422.95 -6.31111 23.6425 -264.981 -87.9363
3425.88 32.7027 25.4932 608.653 179.382
3428.8 50.0881 31.2427 194.474 180.764
3431.73 10.9373 16.8982 -260.836 -122.374
3434.66 -10.3309 1.33395 -300.759 -213.108
3437.59 3.39542 13.0772 -77.7292 -63.364
3440.52 46.1671 27.9881 188.396 50.6373
3443.45 34.4018 41.1173 41.2453 81.7369
3446.38 42.7832 20.1711 15.5694 105.01
3449.3 -16.6717 3.7041 258.214 217.655
3452.23 -14.9991 -1.30838 379.183 210.007
3455.16 27.7457 -11.6861 -7.37482 71.7755
3458.09 -47.8049 -7.16957 -156.482 28.677
3461.02 -1.44955 -11.7808 249.887 49.3911
3463.95 13.9121 1.46295 54.7673 95.5194
3466.88 -8.07368 -8.5226 -18.0964 10.8666
3469.8 -31.4062 1.11241 -4.07108 5.49152
3472.73 42.8171 -12.0182 38.6421 -62.2727
3475.66 -47.4655 -33.1845 -221.389 -9.5384
3478.59 -94.9053 -51.8394 154.132 -81.993
3481.52 -13.1474 -36.2138 -178.722 -227.424
3484.44 -0.588717 -6.76872 -657.681 -372.861
3487.37 -6.57005 -13.8989 -282.181 -196.023
3490.3 -34.5378 -28.8558 351.793 74.4913
3493.23 -45.4594 -56.2014 153.861 40.7524
3496.16 -88.607 -44.1212 -383.397 -175.394
3499.08 1.70275 -29.204 -296.645 -151.932
3502.01 -0.707653 2.33492 224.245 30.8747
3504.94 6.00965 -7.32111 165.024 138.783
3507.87 -27.2653 -8.22769 27.0792 92.119
3510.8 -3.42739 -7.53545 84.2538 -57.3325
3513.72 8.08636 9.59184 -283.33 -269.172
3516.65 24.1166 23.513 -608.439 -342.013
3519.58 38.336 30.8435 -134.269 -191.199
3522.51 30.078 27.8467 169.11 34.0741
3525.43 15.1262 32.1305 67.3811 165.704
3528.36 51.1875 40.9391 260.621 8.97287
3531.29 56.5037 57.4132 -301.083 -84.3971
3534.22 64.5483 88.1866 -212.729 -67.5433
3537.14 143.508 96.5415 311.182 5.5223
3540.07 81.5684 91.1863 -81.8864 139.06
3543 48.4826 64.5461 187.883 180.347
3545.92 63.5874 42.6888 435.046 116.996
3548.85 15.9963 41.974 -271.941 -196.03
3551.78 46.3382 2.73647 -751.196 -409.778
3554.71 -54.1251 13.4761 -206.198 -173.886
3557.63 48.2152 20.4653 435.734 154.985
3560.56 67.3059 11.6783 235.418 110.036
3563.49 -80.4863 -12.9109 -341.045 -88.4836
3566.41 -25.5521 -13.9181 -159.824 -151.866
3569.34 64.284 13.9587 45.2713 -71.0425
3572.27 3.14419 22.0452 -98.5749 -238.585
3575.19 -1.2926 -22.6763 -662.453 -397.659
3578.12 -69.8804 -28.6484 -431.948 -264.435
3581.05 -14.7723 -22.6066 301.095 -129.154
