wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal
3402.44 -15.8938 -40.0523 -90.2292 -52.7463
3405.37 -104.263 -68.1924 -68.0097 -183.312
3408.3 -84.4204 -105.732 -391.698 -279.337
3411.23 -128.514 -117.709 -378.304 -287.649
3414.16 -140.192 -129.803 -92.9436 -8.9289
3417.09 -120.705 -41.1197 444.461 -85.3214
3420.02 137.538 -40.4858 -607.481 -142.667
3422.95 -138.29 -38.7643 -264.981 -87.9363
3425.88 -115.54 -159.14 608.653 179.382
3428.8 -223.59 -86.6929 194.474 180.764
3431.73 79.0511 -92.5609 -260.836 -122.374
3434.66 -133.144 -47.9984 -300.759 -213.108
3437.59 -89.9021 -73.8808 -77.7292 -63.364
3440.52 1.40409 15.0024 188.396 50.6373
3443.45 133.505 76.273 41.2453 81.7369
3446.38 93.9096 66.9247 15.5694 105.01
3449.3 -26.6409 0.72207 258.214 217.655
3452.23 -65.1025 -88.6334 379.183 210.007
3455.16 -174.157 -67.2768 -7.37482 71.7755
3458.09 37.429 -99.3277 -156.482 28.677
3461.02 -161.255 -104.015 249.887 49.3911
3463.95 -188.22 -124.969 54.7673 95.5194
3466.88 -25.433 -130.549 -18.0964 10.8666
3469.8 -177.993 -116.664 -4.07108 5.49152
3472.73 -146.567 -176.031 38.6421 -62.2727
3475.66 -203.531 -92.7984 -221.389 -9.5384
3478.59 71.7032 -57.2972 154.132 -81.993
3481.52 -40.0637 7.27424 -178.722 -227.424
3484.44 -9.8167 25.6018 -657.681 -372.861
3487.37 126.686 18.3402 -282.181 -196.023
3490.3 -61.8485 -71.0392 351.793 74.4913
3493.23 -277.955 -193.197 153.861 40.7524
3496.16 -239.786 -229.426 -383.397 -175.394
3499.08 -170.538 -192.484 -296.645 -151.932
3502.01 -167.127 -102.411 224.245 30.8747
3504.94 30.4327 -140.01 165.024 138.783
3507.87 -283.337 -85.5195 27.0792 92.119
3510.8 -3.65438 -64.2799 84.2538 -57.3325
3513.72 94.1515 88.2807 -283.33 -269.172
3516.65 174.345 129.894 -608.439 -342.013
3519.58 121.186 95.817 -134.269 -191.199
3522.51 -8.07976 35.6382 169.11 34.0741
3525.43 -6.1914 50.3419 67.3811 165.704
3528.36 165.297 53.7347 260.621 8.97287
3531.29 2.09872 103.887 -301.083 -84.3971
3534.22 144.266 67.0642 -212.729 -67.5433
3537.14 54.8275 38.0715 311.182 5.5223
3540.07 -84.8795 32.8674 -81.8864 139.06
3543 128.654 58.5323 187.883 180.347
3545.92 131.822 144.928 435.046 116.996
3548.85 174.308 166.933 -271.941 -196.03
3551.78 194.669 222.822 -751.196 -409.778
3554.71 299.49 115.475 -206.198 -173.886
3557.63 -147.734 53.7796 435.734 154.985
3560.56 9.58366 -75.248 235.418 110.036
3563.49 -87.5932 10.1852 -341.045 -88.4836
3566.41 108.565 86.4833 -159.824 -151.866
3569.34 238.478 101.354 45.2713 -71.0425
3572.27 -42.9797 145.786 -98.5749 -238.585
3575.19 241.858 71.6053 -662.453 -397.659
3578.12 15.9375 19.4172 -431.948 -264.435
3581.05 -199.544 -60.9573 301.095 -129.154
3583.97 0.7346 -101.173 -256.61 -28.7323
3586.9 -104.711 -32.644 -130.682 -120.82
3589.83 6.04403 -35.2262 24.8329 -174.068
3592.75 -7.0121 63.3942 -416.355 -330.832
3595.68 191.151 160.728 -600.974 -486.328
3598.61 298.045 168.653 -441.654 -350.346
3601.53 16.7628 125.909 -8.40957 -185.261
3604.46 62.9181 69.1658 -105.719 -141.156
3607.38 127.816 140.638 -309.338 -215.688
3610.31 231.179 144.683 -232.006 -216.739
3613.24 75.0526 94.4307 -108.872 -88.8406
3616.16 -22.9395 75.1195 74.3559 93.3691
3619.09 173.245 58.5767 314.623 239.794
3622.01 25.4241 -27.4586 330.403 311.678
3624.94 -281.045 -100.2 290.007 278.511
3627.87 -44.979 3.23824 215.122 148.594
3630.79 335.739 161.222 -59.3486 -11.1332
3633.72 192.907 175.734 -189.173 67.7102
3636.64 -1.44537 47.6683 451.652 274.256
3639.57 -48.4563 56.6282 560.288 361.527
3642.49 219.786 66.1693 72.6397 198.365
3645.42 27.1777 143.491 -37.8333 91.6086
3648.35 183.508 84.3528 240.019 147.126
3651.27 42.3722 101.821 239.193 164.209
3654.2 79.5828 2.76698 13.4147 69.1639
3657.12 -113.654 -21.0765 -45.1163 -171.002
3660.05 -29.1581 -33.9244 -481.304 -384.713
3662.97 41.039 114.162 -627.718 -376.333
3665.9 330.606 53.9596 -19.978 -338.788
3668.82 -209.766 6.33201 -368.668 -328.609
3671.75 -101.844 -144.2 -597.18 -470.376
3674.67 -120.989 -50.4796 -445.281 -593.249
3677.6 71.3934 -47.541 -737.286 -425.922
3680.52 -93.0279 -34.2914 -95.1994 -316.122
3683.45 -81.2398 -108.726 -115.88 -124.797
3686.37 -151.911 -135.456 -163.31 -16.7256
3689.3 -173.219 -47.1837 229.014 258.768
3692.22 183.578 -99.6636 710.601 430.958
3695.15 -309.35 -24.2772 353.259 480.803
3698.07 52.9406 -135.039 378.549 324.686
3701 -148.707 23.8931 242.251 268.107
3703.92 167.445 -45.4274 183.521 53.9232
3706.85 -155.021 31.1286 -264.002 -60.6475
3709.77 80.9614 -89.1348 -101.461 -83.5381
3712.7 -193.345 -58.9783 114.849 -82.4513
3715.62 -64.5515 -111.942 -260.742 -92.6063
3718.55 -77.9287 -26.0768 -131.926 -42.9903
3721.47 64.2499 -9.91772 263.697 51.037
3724.39 -16.0743 34.4465 21.34 70.5341
3727.32 55.164 -41.612 -73.4348 -159.667
3730.24 -163.926 -19.1063 -426.906 -425.328
3733.17 51.4427 24.5863 -775.644 -466.611
3736.09 186.242 114.968 -197.282 -481.334
3739.02 107.218 180.275 -471.075 -481.755
3741.94 247.364 133.282 -776.907 -508.715
3744.86 45.2656 71.9164 -278.163 -438.044
3747.79 -76.8801 -30.5503 -259.061 -38.7047
3750.71 -60.0363 -143.398 421.109 3.21049
3753.64 -293.279 -144.738 -152.418 -78.7096
3756.56 -80.8979 -217.024 -504.821 -215.512
3759.48 -276.896 -122.683 10.7009 -241.735
3762.41 -10.2547 -128.847 -231.084 -173.33
3765.33 -99.3892 -21.2884 -299.606 -304.013
3768.25 45.7788 14.2015 -381.349 -437.359
3771.18 96.2149 -59.5563 -631.123 -499.732
3774.1 -320.663 -72.2661 -486.726 -637.788
3777.02 7.64936 -101.864 -795.516 -911.244
3779.95 7.42265 85.3172 -1451.49 -1038.86
3782.87 240.879 87.2788 -869.585 -912.627
3785.79 13.5344 112.977 -416.804 -626.514
3788.72 84.5183 53.563 -593.154 -473.783
3791.64 62.6363 82.5285 -411.392 -506.877
3794.56 100.431 62.8379 -516.086 -311.211
3797.49 25.4465 4.9329 -6.15654 37.8716
3800.41 -111.079 -127.904 635.857 508.972
3803.33 -298.079 -247.663 897.216 951.012
3806.26 -333.832 -213.801 1319.96 1150.44
3809.18 -9.49208 -72.7849 1234.15 1170.33
3812.1 124.969 86.9092 956.882 733.056
3815.03 145.25 186.574 8.13735 243.393
3817.95 289.503 291.69 -234.84 -142.623
3820.87 440.317 279.404 -201.167 -293.338
3823.79 108.391 243.005 -444.007 -128.746
3826.72 180.308 138.685 258.935 -72.3983
3829.64 127.357 81.1567 -32.1235 172.904
3832.56 -64.195 90.5749 291.9 63.3147
3835.48 208.562 68.4005 -69.832 32.9429
3838.41 60.8342 148.783 -123.239 -7.56033
3841.33 176.954 99.55 170.39 123.983
3844.25 60.8619 35.5282 324.799 108.35
3847.17 -131.231 -32.7468 -170.139 -75.4886
3850.1 -27.871 -98.4986 -381.126 -119.913
3853.02 -136.394 46.4827 191.527 9.13327
3855.94 303.713 81.6967 216.999 89.183
3858.86 77.7711 172.79 -140.977 -210.605
3861.78 136.885 165.908 -707.837 -365.973
3864.71 283.068 151.381 -249.105 -460.637
3867.63 34.1891 42.2359 -424.968 -174.324
3870.55 -190.549 12.0495 151.099 -198.854
3873.47 192.508 5.35735 -322.694 -407.435
3876.39 14.1128 3.40599 -1050.71 -688.042
3879.31 -196.403 -86.2534 -690.72 -728.657
3882.24 -76.4697 -84.2593 -444.539 -400.875
3885.16 20.095 -9.69494 -67.3649 -274.263
3888.08 27.2899 6.23884 -310.885 -160.795
3891 -28.6684 55.273 -104.134 -165.305
3893.92 167.198 114.516 -80.8979 -34.0264
3896.84 205.019 116.834 82.9526 -124.696
3899.77 -21.7139 104.651 -376.143 -583.093
3902.69 130.647 38.0783 -1456.09 -605.131
3905.61 5.30199 47.4371 16.8364 -582.457
