wavelength spec_sum spec_optimal
3418.5 1065.92 752.954
3421.43 1049.25 711.91
3424.36 983.121 680.685
3427.28 1064.46 750.583
3430.21 1032.09 717.673
3433.14 911.801 701.003
3436.07 940.812 671.833
3438.99 1147.66 826.119
3441.92 1045.06 758.402
3444.85 1022.33 717.81
3447.78 1057.68 710.832
3450.7 1092.24 773.888
3453.63 1039.75 719.232
3456.56 1076.06 751.636
3459.49 1029.89 779.167
3462.41 990.969 710.73
3465.34 1070.19 776.396
3468.27 1007.9 733.723
3471.19 969.671 679.039
3474.12 939.592 660.709
3477.05 956.502 704.784
3479.97 1019.25 759.671
3482.9 987.939 700.652
3485.83 948.669 686.408
3488.75 960.702 702.977
3491.68 941.797 701.202
3494.61 920.578 700.834
3497.53 958.569 721.246
3500.46 995.617 717.427
3503.39 934.195 677.057
3506.31 986.265 718
3509.24 974.143 748.297
3512.17 1108.3 826.7
3515.09 974.55 736.738
3518.02 954.916 677.239
3520.94 947.067 663.058
3523.87 993.409 742.375
3526.8 1018.85 746.223
3529.72 989.011 733.025
3532.65 1039.44 797.756
3535.57 1059.21 768.939
3538.5 908.295 719.72
3541.43 980.164 735.701
3544.35 985.02 732.63
3547.28 947.177 726.441
3550.2 971.309 752.691
3553.13 926.679 675.481
3556.05 988.29 749.519
3558.98 1008.96 725.756
3561.91 933.593 701.824
3564.83 888.87 672.793
3567.76 915.393 700.87
3570.68 925.555 721.937
3573.61 883.336 643.017
3576.53 909.08 704.498
3579.46 916.587 705.451
3582.38 936.159 732.126
3585.31 960.599 752.94
3588.23 962.765 741.937
3591.16 907.969 694.722
3594.08 974.402 755.09
3597.01 897.049 696.585
3599.93 926.21 731.057
3602.86 897.286 716.215
3605.78 961.034 749.825
3608.71 967.74 776.465
3611.63 923.419 717.445
3614.56 884.647 693.262
3617.48 958.097 726.714
3620.41 1024.19 769.138
3623.33 906.057 710.783
3626.25 928.836 704.592
3629.18 906.182 733.881
3632.1 972.958 736.481
3635.03 1006.59 795.693
3637.95 909.099 712.332
3640.88 914.65 698.586
3643.8 881.593 691.169
3646.72 992.724 776.951
3649.65 950.831 726.304
3652.57 924.047 694.032
3655.5 887.721 672.469
3658.42 886.691 678.062
3661.34 934.105 720.594
3664.27 899.621 677.785
3667.19 866.052 677.976
3670.11 859.998 629.489
3673.04 934.686 710.608
3675.96 886.347 654.201
3678.89 863.642 663.607
3681.81 841.959 669.017
3684.73 863.836 667.469
3687.66 881.011 700.879
3690.58 825.638 652.453
3693.5 817.964 647.685
3696.43 853.256 668.666
3699.35 880.323 682.232
3702.27 835.066 673.218
3705.2 935.803 770.041
3708.12 861.463 698.619
3711.04 861.094 673.235
3713.96 886.584 703.442
3716.89 861.499 705.197
3719.81 828.708 645.523
3722.73 843.755 690.132
3725.66 866.16 676.572
3728.58 822.397 672.051
3731.5 864.481 667.218
3734.42 881.844 715.722
3737.35 875.011 704.144
3740.27 891.686 701.279
3743.19 849.398 657.87
3746.11 856.703 699.769
3749.04 909.91 731.915
3751.96 886.05 704.325
3754.88 845.539 680.124
3757.8 858.713 671.752
3760.72 787.256 607.3
3763.65 819.389 651.59
3766.57 838 674.077
3769.49 791.471 637.462
3772.41 756.801 625.858
3775.33 756.614 618.276
3778.26 796.453 634.343
3781.18 802.891 633.039
3784.1 807.398 663.399
3787.02 765.611 624.52
3789.94 795.965 639.103
3792.87 795.323 635.454
