wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal
3395.96 631.199 501.89 438.133 355.65
3398.89 874.47 845.75 628.819 602.472
3401.83 1031.58 1005.97 740.464 711.778
3404.77 1111.85 1108.02 766.05 771.437
3407.7 1180.64 1119.81 807.795 766.899
3410.64 1066.94 1105.57 726.851 755.23
3413.57 1069.13 1097.9 731.045 761.223
3416.51 1157.64 1119.1 825.774 784.196
3419.45 1130.55 1135.02 795.768 798.439
3422.38 1116.87 1148.9 773.776 811.858
3425.32 1199.28 1165.69 866.031 826.391
3428.25 1180.92 1145.66 839.366 845.04
3431.19 1056.78 1109.26 829.723 824.357
3434.12 1090.1 1165.86 803.981 877.398
3437.06 1350.7 1221.91 998.489 909.08
3439.99 1224.95 1274.39 924.77 935.308
3442.93 1247.52 1248.68 882.666 896.106
3445.86 1273.57 1288.3 880.882 909.738
3448.8 1343.79 1285.99 965.668 916.724
3451.73 1240.6 1305.08 903.623 939.931
3454.67 1330.86 1293.66 950.501 948.622
3457.6 1309.54 1298.41 991.74 950.966
3460.54 1254.83 1302.2 910.657 967.928
3463.47 1342.24 1295.98 1001.39 955.062
3466.41 1290.85 1295.39 953.142 947.74
3469.34 1253.08 1253.47 888.692 904.419
3472.28 1216.48 1241.74 871.422 899.109
3475.21 1255.66 1283.42 937.211 942.589
3478.15 1378.13 1309.29 1019.13 968.465
3481.08 1294.08 1307.84 949.05 968.952
3484.02 1251.31 1292.15 938.673 953.004
3486.95 1331.05 1296.25 971.288 962.933
3489.88 1306.37 1315.59 978.837 979.688
3492.82 1309.35 1327.22 988.94 998.806
3495.75 1365.94 1362.54 1028.64 1017.33
3498.69 1412.32 1378.97 1034.41 1016.75
3501.62 1358.64 1398.61 987.189 1026.7
3504.55 1424.87 1416.08 1058.48 1053.68
3507.49 1464.74 1506.36 1115.37 1139.9
3510.42 1629.47 1528.41 1245.84 1161.18
3513.36 1491.02 1516.01 1122.34 1136.95
3516.29 1427.54 1441.83 1042.66 1065.57
3519.22 1406.94 1457.12 1031.69 1080.47
3522.16 1536.89 1499.68 1167.07 1127.96
3525.09 1555.2 1550.67 1185.12 1175.88
3528.02 1559.91 1587.58 1175.46 1217.25
3530.96 1647.62 1620.77 1291.17 1240.8
3533.89 1654.78 1601.42 1255.76 1244.15
3536.82 1501.87 1595.14 1185.53 1221.14
3539.76 1628.78 1584.04 1222.14 1211.36
3542.69 1621.47 1619.69 1226.41 1224.52
3545.62 1608.81 1638.21 1225.01 1243.19
3548.55 1684.35 1621.22 1278.15 1219.18
3551.49 1570.5 1651.78 1154.39 1240.35
3554.42 1700.5 1657.39 1288.52 1232.59
3557.35 1701.16 1659.13 1254.88 1254.46
3560.28 1575.71 1594.73 1219.97 1216.72
3563.22 1507.33 1559.11 1175.31 1208.48
3566.15 1594.28 1573.45 1230.17 1226.25
3569.08 1618.73 1584.6 1273.27 1214.31
3572.01 1540.79 1596.23 1139.48 1222.39
3574.95 1629.16 1598.71 1254.41 1218.47
3577.88 1626.18 1639.71 1261.52 1277.1
3580.81 1663.79 1678.81 1315.38 1312.07
3583.74 1746.46 1706.45 1359.29 1340.13
3586.67 1709.1 1702.24 1345.73 1323.86
3589.61 1651.16 1707.85 1266.58 1332.01
3592.54 1763.28 1686.04 1383.73 1311.27
3595.47 1643.66 1701.42 1283.51 1340.58
3598.4 1697.33 1674.11 1354.5 1324.25
3601.33 1681.35 1719.84 1334.74 1365.17
3604.26 1780.85 1767.84 1406.27 1402.32
3607.2 1841.33 1784.68 1465.94 1412.2
3610.13 1731.85 1759.79 1364.4 1386.35
3613.06 1706.19 1759.71 1328.72 1365.7
3615.99 1841.09 1821.4 1403.99 1410.38
3618.92 1916.9 1843.22 1498.44 1433.25
3621.85 1771.67 1830.29 1397.32 1431.47
3624.78 1802.28 1803.77 1398.64 1422.51
3627.71 1837.35 1835 1471.58 1454.04
3630.65 1865.37 1912.09 1491.89 1530.9
3633.58 2033.54 1920.99 1629.24 1532
3636.51 1864.05 1930.61 1474.86 1522.43
3639.44 1894.24 1883.05 1463.18 1467.54
3642.37 1890.85 1966.27 1464.59 1531.25
3645.3 2113.74 2003.53 1665.98 1568.97
3648.23 2006 2019.4 1576.35 1589.07
3651.16 1938.46 1947.96 1524.88 1532.32
3654.09 1899.42 1926.09 1495.72 1515.93
3657.02 1940.41 1956.47 1527.2 1555.37
3659.95 2029.58 1991.98 1643.19 1578.64
3662.88 2005.96 2006.74 1565.54 1598.01
3665.81 1984.68 1981.6 1585.31 1547.2
3668.74 1954.15 2024.89 1490.75 1593.4
3671.67 2135.83 2037.63 1704.12 1594.44
3674.6 2022.91 2072.75 1588.45 1641.38
3677.53 2059.51 2050.67 1631.56 1628.46
3680.46 2069.59 2089.75 1665.37 1659.7
3683.39 2140.14 2132.08 1682.16 1711.7
3686.32 2186.52 2143.85 1787.56 1717.83
3689.25 2104.91 2144.51 1683.78 1720.87
3692.18 2142.12 2158.64 1691.27 1713.91
3695.11 2228.91 2224.97 1766.69 1760.42
3698.04 2303.89 2266.13 1823.32 1802.97
3700.97 2265.59 2371.46 1818.91 1915.37
3703.9 2544.9 2393.65 2103.88 1950.68
3706.83 2370.47 2424.99 1929.25 1970.7
3709.75 2359.6 2405.84 1878.97 1930.71
3712.68 2487.45 2444.88 1983.92 1957.34
3715.61 2487.6 2454.67 2009.13 1950.21
3718.54 2388.96 2438.56 1857.59 1957.07
3721.47 2439.12 2426.04 2004.48 1948.85
3724.4 2450.05 2455.07 1984.5 1992.58
3727.33 2476.05 2483.04 1988.78 1988.61
3730.26 2523.04 2546.52 1992.57 2045.67
3733.19 2640.47 2599.92 2155.66 2095.58
3736.11 2636.24 2661.82 2138.52 2147.21
3739.04 2708.75 2636.25 2147.43 2105.46
3741.97 2563.76 2639.44 2030.42 2117.84
3744.9 2645.8 2681.53 2175.68 2166.13
3747.83 2835.03 2731.95 2292.31 2229.77
3750.75 2715.02 2743.48 2221.33 2224.45
3753.68 2680.4 2692.8 2159.72 2175.95
3756.61 2682.97 2619.65 2146.79 2086.47
3759.54 2495.6 2592.36 1952.91 2068.87
3762.47 2598.53 2580.43 2106.91 2083.83
3765.39 2647.16 2616.02 2191.65 2127.3
3768.32 2602.38 2596.59 2083.34 2110.11
3771.25 2540.23 2534.78 2055.34 2059.55
3774.18 2461.75 2533.74 2039.96 2065.97
3777.11 2599.25 2551.55 2102.62 2083.24
3780.03 2593.66 2625.87 2107.14 2142.38
3782.96 2684.72 2622.45 2217.39 2140.32
3785.89 2588.99 2632.05 2096.42 2155.84
3788.81 2622.44 2622.84 2153.72 2133.57
3791.74 2657.09 2665.17 2150.57 2167.36
3794.67 2715.98 2732.2 2197.79 2222.4
3797.6 2823.53 2772.45 2318.82 2253.72
3800.52 2777.85 2829.71 2244.54 2314.04
3803.45 2887.75 2805.81 2378.75 2307.12
3806.38 2751.85 2828.09 2298.08 2352.01
3809.3 2844.67 2850.64 2379.21 2365.64
3812.23 2955.39 2935.3 2419.62 2423.32
3815.16 3005.83 2974.01 2471.13 2447.01
3818.08 2960.79 2953.86 2450.28 2446.1
3821.01 2894.94 2921.16 2416.87 2429.81
3823.94 2907.76 2898.31 2422.27 2416.44
3826.86 2892.24 2920.14 2410.18 2428.81
3829.79 2960.43 2920.94 2453.99 2436.72
3832.72 2910.17 2921.38 2445.99 2432.09
3835.64 2893.54 2933.12 2396.28 2438.81
3838.57 2995.64 3032.71 2474.17 2512.87
3841.49 3208.95 3110.61 2668.15 2570.4
3844.42 3127.24 3256.23 2568.88 2714.6
3847.35 3432.51 3267.62 2906.76 2752.38
3850.27 3243.11 3336.32 2781.49 2824.71
3853.2 3333.35 3310.27 2785.89 2791.73
3856.12 3354.35 3367.83 2807.8 2823.27
3859.05 3415.78 3381.55 2876.1 2810.39
3861.97 3374.52 3406.07 2747.26 2834.47
3864.9 3427.91 3391.83 2880.03 2811.28
3867.82 3373.06 3387.54 2806.54 2829.49
3870.75 3361.65 3305.67 2801.91 2756.19
3873.67 3182.31 3218.78 2660.12 2682.89
3876.6 3112.39 3093.73 2586.64 2585.49
3879.53 2986.49 2969.1 2509.72 2468.68
3882.45 2808.42 2850.24 2309.68 2381.27
3885.38 2755.82 2840.81 2324.42 2387.17
3888.3 2958.21 2863.85 2527.42 2437.41
3891.23 2877.52 2983.85 2460.39 2563.37
3894.15 3115.82 3052.29 2702.31 2642.69
3897.07 3163.53 3244.81 2765.37 2807.15
3900 3455.09 3365.92 2953.79 2894.53
3902.92 3479.14 3532.36 2964.43 3024.31
3905.85 3662.85 3573.76 3154.71 3061.31
3908.77 3579.28 3684.79 3064.8 3169.93
3911.7 3812.25 3803.62 3290.27 3256.43
3914.62 4019.32 3953.97 3414.2 3388.27
3917.55 4030.32 4100.31 3460.32 3497.96
3920.47 4251.29 4197.17 3619.36 3582.07
3923.39 4309.89 4299.43 3666.52 3675.85
3926.32 4337.1 4280.17 3741.67 3668.06
3929.24 4193.51 4252.23 3596 3656.35
3932.17 4226.07 4201.86 3631.4 3603.26
3935.09 4186.01 4166.31 3582.38 3581.44
3938.01 4086.85 4081.84 3530.54 3501.41
3940.94 3972.65 3977.65 3391.32 3406.52
3943.86 3873.46 3896.78 3297.7 3306.12
3946.78 3844.22 3820.98 3229.33 3256.29
3949.71 3745.26 3710.69 3241.83 3170.72
3952.63 3542.58 3516.26 3041 2998.26
3955.55 3260.93 3339.56 2711.95 2842.24
3958.48 3215.16 3134.25 2773.77 2672.26
3961.4 2926.67 2988.95 2531.06 2565.08
3964.32 2825.02 2848.31 2390.39 2433.75
3967.25 2793.23 2849.91 2379.79 2426.51
3970.17 2931.49 2942.71 2509.33 2521.9
3973.09 3103.4 3049.37 2676.58 2633.81
3976.02 3113.22 3188.76 2715.52 2805.15
3978.94 3349.67 3345.32 3023.34 2958
3981.86 3573.08 3502.96 3135.14 3074.4
3984.78 3586.13 3706.73 3064.71 3244.93
3987.71 3960.97 3852.58 3534.94 3342.36
3990.63 4010.63 4083.63 3427.44 3555.96
3993.55 4279.3 4225.07 3705.49 3645.54
3996.47 4385.3 4431.74 3803.69 3873.74
3999.4 4630.61 4572.49 4112.04 4018.2
4002.32 4701.56 4738.8 4138.87 4201.96
