wavelength spec_sum spec_optimal
3526.2 0.274537 64.5102
3529.11 -0.345828 57.0616
3532.03 -1.36062 80.9926
3534.94 5.71317 73.9673
3537.85 -0.257163 86.1998
3540.76 1.45006 58.6782
3543.68 -10.8883 66.1293
3546.59 -0.319121 73.8645
3549.5 8.78951 68.7347
3552.41 3.73418 43.4953
3555.33 -0.979648 73.6577
3558.24 6.27571 89.047
3561.15 7.86168 84.9158
3564.06 -0.0149528 72.6042
3566.97 2.92144 82.5812
3569.89 0.911976 82.3669
3572.8 2.43798 87.421
3575.71 -2.08923 69.059
3578.62 0.311536 91.392
3581.54 0.422921 87.4493
3584.45 -6.34763 82.2229
3587.36 8.12568 72.8372
3590.27 5.48395 91.9393
3593.19 0.944728 79.2681
3596.1 -2.14737 72.1653
3599.01 4.20682 75.4969
3601.92 9.51444 81.5447
3604.83 7.55694 70.4997
3607.75 9.2222 74.073
3610.66 -3.0567 78.543
3613.57 9.09729 76.8565
3616.48 2.80034 85.5823
3619.4 7.92261 60.205
3622.31 9.30269 77.2847
3625.22 11.2852 78.3459
3628.13 3.1494 76.1537
3631.05 12.7902 71.7772
3633.96 11.4711 84.5257
3636.87 7.282 89.3356
3639.78 12.4561 82.6407
3642.69 16.0581 78.002
3645.61 14.2796 85.7574
3648.52 10.3216 86.0831
3651.43 9.65036 98.2823
3654.34 12.9319 66.6213
3657.26 15.2185 67.8534
3660.17 20.6527 80.611
3663.08 10.2964 68.8417
3665.99 15.442 86.6155
3668.9 15.8814 75.2503
3671.82 12.1429 72.5002
3674.73 5.58772 79.5971
3677.64 9.45168 70.4945
3680.55 13.9166 85.7905
3683.47 16.015 97.7247
3686.38 18.7574 80.9852
3689.29 10.5398 75.3297
3692.2 20.8037 73.0244
3695.11 22.3101 66.5165
3698.03 16.2692 77.3023
3700.94 11.2083 81.5418
3703.85 14.4247 82.3865
3706.76 18.534 75.7597
3709.67 14.8377 96.7838
3712.59 17.8273 75.1662
3715.5 15.4281 79.18
3718.41 20.2612 78.5843
3721.32 17.4255 74.2027
3724.24 22.0786 74.4951
3727.15 19.3854 75.3959
3730.06 20.7732 80.6238
3732.97 15.2915 82.8221
3735.88 23.5559 72.2468
3738.8 24.2807 83.9725
3741.71 14.0392 82.1641
3744.62 15.4122 72.1132
3747.53 17.9763 95.3092
3750.44 16.6321 75.1083
3753.36 13.1179 95.3952
3756.27 19.9669 73.2778
3759.18 18.7433 95.9859
3762.09 19.45 72.0278
3765 16.303 79.5353
3767.92 14.752 84.006
3770.83 15.198 93.212
3773.74 21.8861 91.4047
3776.65 17.6968 85.5681
3779.56 14.2924 75.6776
3782.47 25.9974 86.2845
3785.39 24.5304 95.7582
3788.3 23.9383 86.6143
3791.21 30.5004 93.978
3794.12 32.8823 96.8715
3797.03 28.8315 100.938
3799.95 23.5975 98.6363
3802.86 28.8271 91.5823
3805.77 30.8771 88.9606
3808.68 32.8236 105.008
3811.59 33.8556 100.291
3814.5 28.6165 112.974
3817.42 38.6581 103.042
3820.33 25.3054 87.0672
3823.24 30.0616 85.9247
3826.15 34.8162 98.2025
3829.06 34.9195 97.5463
3831.97 33.5506 86.9869
3834.89 29.4652 91.5613
3837.8 28.0298 82.7254
3840.71 28.6679 100.649
3843.62 29.5953 88.9649
3846.53 23.0488 95.2846
3849.44 21.7049 80.3811
3852.36 18.6928 85.7866
3855.27 20.1655 84.0128
3858.18 8.92641 82.7164
3861.09 19.5695 97.8418
3864 18.5226 106.459
3866.91 16.4924 145.427
3869.82 7.83331 178.278
3872.74 -4.3173 181.726
3875.65 -1.33525 164.717
3878.56 5.25526 153.352
3881.47 6.73253 115.525
3884.38 14.2529 115.173
3887.29 9.13876 96.2067
3890.2 13.2596 94.4772
3893.12 10.2986 79.4841
3896.03 13.9148 74.862
3898.94 16.7597 81.0586
3901.85 8.35064 76.2355
3904.76 7.98899 81.4096
3907.67 11.1993 85.4276
3910.58 5.11972 91.1753
3913.49 11.3434 71.101
3916.41 15.572 68.6223
3919.32 12.2482 71.2624
3922.23 14.4244 86.3266
3925.14 8.95224 91.029
3928.05 4.31176 92.5924
3930.96 11.1809 76.6374
3933.87 6.2092 85.9372
3936.78 7.39521 79.8422
3939.7 9.79245 82.486
3942.61 9.30144 77.058
3945.52 9.01548 75.6341
3948.43 8.26304 74.9364
3951.34 11.8971 78.7093
3954.25 9.8313 90.0363
3957.16 7.26062 79.7818
3960.07 7.76853 92.3977
3962.98 10.6677 89.9539
3965.89 7.72679 93.0394
3968.8 12.5324 85.1287
3971.72 14.1747 86.3112
3974.63 13.4632 83.4378
3977.54 17.8308 80.0058
3980.45 15.4804 81.2482
3983.36 20.7841 73.9187
3986.27 18.2501 75.6381
3989.18 20.5429 82.7758
3992.09 18.64 87.5854
3995 24.6009 101.939
3997.91 25.9175 98.477
4000.82 28.2614 96.376
4003.73 25.6214 103.843
4006.64 22.844 98.064
4009.56 28.5877 112.387
4012.47 30.8762 112.292
4015.38 28.5063 109.102
4018.29 33.9735 119.292
4021.2 27.9599 116.964
4024.11 26.9481 117.472
4027.02 31.8915 111.904
4029.93 31.1183 111.008
4032.84 36.9215 108.04
4035.75 38.874 98.184
4038.66 29.6158 105.806
4041.57 38.1933 103.871
4044.48 40.7428 99.8658
4047.39 47.2803 104.193
4050.3 35.9734 111.703
4053.21 44.7007 118.633
4056.12 45.3313 107.086
4059.03 45.343 118.302
4061.94 41.6113 122.769
4064.85 47.7016 117.787
4067.76 47.8325 127.38
4070.67 38.1916 115.902
4073.58 50.5828 118.808
4076.49 42.7326 121.58
4079.4 46.7778 117.771
4082.31 51.0646 110.563
4085.22 51.1162 110.303
4088.13 47.0381 111.223
4091.04 49.6826 113.875
4093.95 51.027 113.628
4096.86 50.2412 115.485
4099.77 54.699 122.476
4102.68 47.4221 124.727
4105.59 41.8002 124.302
4108.5 52.4598 118.782
4111.41 42.9275 113.982
4114.32 44.062 114.593
4117.23 47.1513 102.736
4120.14 45.5497 97.0481
4123.05 41.0576 98.1152
4125.96 37.1126 94.4251
4128.87 42.5159 104.654
4131.78 38.2163 97.6882
4134.69 42.2661 107.75
4137.6 39.9781 103.705
4140.51 33.5067 121.071
4143.42 34.3952 114.634
4146.33 35.0244 113.259
4149.24 32.7426 125.772
4152.14 32.6393 114.349
4155.05 31.158 119.997
4157.96 23.1372 118.448
4160.87 25.2129 109.399
4163.78 30.1973 123.168
4166.69 24.9645 121.182
4169.6 30.7237 124.23
4172.51 26.8185 126.983
4175.42 26.93 115.812
4178.33 25.3264 118.341
4181.24 24.5297 118.596
4184.15 25.7189 121.683
4187.05 29.8824 110.271
4189.96 28.6918 127.003
4192.87 29.8974 129.903
4195.78 29.8182 112.667
4198.69 29.2604 112.933
4201.6 32.1364 104.394
4204.51 26.0544 117.281
4207.42 22.2549 121.725
4210.33 29.5219 115.335
4213.23 24.8997 119.429
4216.14 28.6274 115.823
4219.05 31.0052 117.025
4221.96 29.7999 121.41
4224.87 30.5079 116.996
4227.78 32.8417 118.191
4230.69 30.364 109.912
4233.6 28.6076 121.972
4236.5 31.0395 112.087
4239.41 33.5622 109.196
4242.32 31.8327 116.521
4245.23 25.1847 115.989
4248.14 23.4148 96.0773
4251.05 26.1077 107.549
4253.95 29.5631 96.9396
4256.86 32.3363 100.948
4259.77 28.6255 100.228
4262.68 29.6245 94.2187
4265.59 29.5167 86.6198
4268.49 30.0409 98.0357
4271.4 31.5993 99.5373
4274.31 29.8915 103.846
4277.22 36.1374 104.53
4280.13 27.0437 105.402
4283.03 31.3148 106.496
4285.94 26.4156 112.753
4288.85 28.0533 110.399
4291.76 30.9759 107.649
4294.67 28.6055 114.087
4297.57 36.0984 111.976
4300.48 30.1956 110.297
4303.39 34.4393 115.062
4306.3 34.1153 117.966
4309.2 36.1649 110.068
4312.11 37.2264 115.677
4315.02 37.8329 106.069
4317.93 36.3979 115.77
4320.83 34.995 112.637
4323.74 38.4978 120.27
4326.65 36.2172 111.672
4329.56 33.1127 119.454
4332.46 35.073 120.189
4335.37 38.2681 116.267
4338.28 37.3236 117.959
4341.19 39.512 112.074
4344.09 41.1436 116.578
4347 33.5063 118.118
4349.91 41.1021 114.606
4352.81 39.9787 117.609
4355.72 38.7714 113.39
4358.63 38.1211 115.922
4361.54 28.1482 112.388
4364.44 30.079 114.056
4367.35 35.9839 112.705
4370.26 31.0229 111.491
4373.16 30.6295 116.298
4376.07 43.4822 120.595
4378.98 36.2044 113.483
4381.88 35.6476 120.396
4384.79 35.7415 113.334
4387.7 35.0884 115.292
4390.6 33.637 112.517
4393.51 34.0769 118.306
4396.42 34.5549 114.699
4399.32 35.0016 110.461
4402.23 33.7778 114.492
4405.14 30.5981 116.407
4408.04 33.246 110.823
4410.95 33.1461 108.129
4413.85 32.5559 113.179
4416.76 34.6286 114.22
4419.67 27.2766 113.363
4422.57 30.748 112.453
4425.48 22.9163 116.157
4428.39 30.1376 113.514
4431.29 23.9913 112.69
4434.2 33.2065 113.871
4437.1 31.6002 111.799
4440.01 31.0613 111.847
4442.92 30.2989 108.661
4445.82 24.2323 108.985
4448.73 37.4212 110.981
4451.63 29.9504 114.516
4454.54 35.1765 107.386
4457.44 32.6307 112.674
4460.35 28.4225 108.784
4463.25 28.4075 105.403
4466.16 26.9387 105.837
4469.07 22.351 99.525
4471.97 29.2753 106.035
4474.88 29.2668 98.9242
4477.78 26.845 103.267
4480.69 27.1813 98.7026
4483.59 27.2061 109.97
4486.5 22.8721 105.797
4489.4 27.6347 103.305
4492.31 24.8208 99.9496
4495.21 15.9292 97.0802
4498.12 25.8728 98.7097
4501.02 24.24 96.7514
4503.93 14.8359 101.876
4506.83 18.5761 95.7114
4509.74 20.2217 96.2606
