wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal
3505.82 -0.424214 -0.486227 129.151 78.6848
3508.73 -1.03447 2.08237 106.904 127.65
3511.64 7.70579 7.4649 146.896 117.84
3514.55 15.7234 15.2633 99.7218 125.427
3517.47 22.3607 22.8139 129.663 125.099
3520.38 30.3575 23.9218 145.912 139.387
3523.29 19.0471 16.6678 142.587 133.781
3526.2 0.598763 6.29252 112.844 119.048
3529.11 -0.768294 -1.08127 101.714 120.497
3532.03 -3.07429 3.08894 146.932 128.348
3534.94 13.1094 3.14554 136.397 148.244
3537.85 -0.598494 5.30996 161.403 136.42
3540.76 3.41898 -7.72145 111.461 133.4
3543.68 -25.9848 -7.77867 127.336 127.623
3546.59 -0.77015 -1.77328 144.073 135.711
3549.5 21.4351 9.95386 135.724 122.234
3552.41 9.1966 9.39879 86.9046 123.83
3555.33 -2.43537 7.50071 148.861 139.244
3558.24 15.7409 11.065 181.967 168.749
3561.15 19.8894 11.864 175.418 169.661
3564.06 -0.0381485 9.12219 151.599 167.097
3566.97 7.51535 3.28092 174.275 167.187
3569.89 2.36557 5.41921 175.689 179.481
3572.8 6.37671 1.07708 188.479 171.562
3575.71 -5.51102 0.564879 150.517 180.136
3578.62 0.828955 -1.18217 201.411 182.285
3581.54 1.13555 -5.07991 194.929 193.924
3584.45 -17.2042 2.05693 185.431 182.202
3587.36 22.2395 6.73239 166.247 188.04
3590.27 15.1619 13.347 212.441 188.057
3593.19 2.63946 3.91241 185.482 189.651
3596.1 -6.06416 2.86214 171.031 179.257
3599.01 12.0111 11.1393 181.259 183.551
3601.92 27.4709 20.517 198.362 184.467
3604.83 22.0688 25.5952 173.779 185.729
3607.75 27.2457 13.3926 185.046 185.895
3610.66 -9.13666 15.2079 198.86 193.71
3613.57 27.5147 8.98292 197.224 206.226
3616.48 8.57069 20.2084 222.593 192.845
3619.4 24.5397 20.7571 158.718 195.937
3622.31 29.1609 29.8339 206.501 192.459
3625.22 35.8012 25.0245 212.158 209.215
3628.13 10.1113 29.1568 208.987 206.919
3631.05 41.5578 29.7952 199.61 215.589
3633.96 37.7166 34.5005 238.17 230.933
3636.87 24.2272 34.6244 255.019 244.051
3639.78 41.9295 40.2808 238.964 240.807
3642.69 54.6858 48.6027 228.438 240.579
3645.61 49.1928 46.6139 254.334 247.084
3648.52 35.9632 39.7197 258.478 270.512
3651.43 34.0032 38.6792 298.724 254.044
3654.34 46.0713 44.962 204.931 238.284
3657.26 54.8115 58.6883 211.198 223.316
3660.17 75.1821 55.9573 253.82 228.084
3663.08 37.8782 56.8198 219.235 250.662
3665.99 57.399 51.6384 278.933 247.725
3668.9 59.638 54.3664 245.009 254.191
3671.82 46.0622 42.3694 238.632 249.48
3674.73 21.4079 34.6797 264.801 246.811
3677.64 36.5689 37.4485 237.001 264.414
3680.55 54.3688 51.37 291.44 287.955
3683.47 63.1724 64.0791 335.423 302.557
3686.38 74.6962 60.079 280.808 293.357
3689.29 42.3686 67.1587 263.84 267.659
3692.2 84.4114 72.7148 258.329 253.272
3695.11 91.3644 81.0059 237.645 258.296
3698.03 67.2418 68.4516 278.912 271.215
3700.94 46.7486 58.2337 297.089 293.029
3703.85 60.7106 62.0565 303.087 293.86
3706.76 78.7103 67.6667 281.405 315.817
3709.67 63.5791 73.1214 362.96 309.656
3712.59 77.0748 69.3167 284.602 316.743
3715.5 67.2961 77.8442 302.665 296.84
3718.41 89.1618 77.9398 303.251 298.328
3721.32 77.3614 88.4699 289.066 295.096
3724.24 98.8865 87.9454 292.971 293.788
3727.15 87.5882 93.7195 299.327 305.138
3730.06 94.6837 84.194 323.118 319.174
3732.97 70.3101 91.418 335.077 317.753
3735.88 109.26 97.7277 295.066 325.455
3738.8 113.613 96.3803 346.223 327.759
3741.71 66.2679 84.4227 341.987 330.406
3744.62 73.3874 75.3348 303.009 349.762
3747.53 86.3493 80.1106 404.292 342.981
3750.44 80.5951 77.0244 321.643 379.458
3753.36 64.1289 81.0658 412.44 351.311
3756.27 98.4733 85.2866 319.852 385.096
3759.18 93.2577 96.4547 422.996 354.44
3762.09 97.6332 91.152 320.473 366.921
3765 82.5652 85.193 357.293 352.936
3767.92 75.3805 78.7674 381.043 388.414
3770.83 78.3566 89.1975 426.907 410.219
3773.74 113.855 95.0354 422.708 416.4
3776.65 92.8943 94.1517 399.584 393.052
3779.56 75.7053 102.521 356.863 389.11
3782.47 138.962 115.665 410.885 409.422
3785.39 132.327 133.871 460.518 430.692
3788.3 130.323 143.412 420.673 447.39
3791.21 167.586 160.088 460.979 453.857
3794.12 182.356 170.443 479.919 481.993
3797.03 161.388 159.027 505.082 494.517
3799.95 133.338 153.052 498.55 490.403
3802.86 164.43 158.522 467.576 474.975
3805.77 177.799 177.68 458.798 491.147
3808.68 190.812 189.101 547.066 511.223
3811.59 198.694 186.353 527.805 558.492
3814.5 169.555 199.834 600.604 560.599
3817.42 231.253 184.544 553.387 542.108
3820.33 152.824 189.118 472.334 498.856
3823.24 183.278 183.461 470.846 495.573
3826.15 214.282 204.836 543.539 519.898
3829.06 216.949 213.878 545.31 526.655
3831.97 210.403 204.622 491.116 519.497
3834.89 186.513 191.995 522.065 496.495
3837.8 179.069 183.469 476.305 527.834
3840.71 184.826 185.477 585.131 527.871
3843.62 192.538 176.22 522.176 557.299
3846.53 151.296 162.524 564.59 522.509
3849.44 143.739 139.972 480.761 521.075
3852.36 124.88 134.834 517.874 503.484
3855.27 135.883 107.142 511.815 512.721
3858.18 60.6618 110.216 508.472 542.364
3861.09 134.104 107.581 606.806 593.772
3864 127.976 125.65 666.037 730.172
3866.91 114.871 99.2799 917.672 906.065
3869.82 54.9926 46.4395 1134.49 1072.75
3872.74 -30.5455 4.97602 1166.08 1122.04
3875.65 -9.51903 -0.77359 1065.55 1077.2
3878.56 37.7438 25.6437 999.955 941.569
3881.47 48.7064 63.433 759.203 840.625
3884.38 103.849 73.2027 762.717 721.282
3887.29 67.053 89.6196 641.926 679.903
3890.2 97.957 80.5356 635.066 605.063
3893.12 76.5968 92.9105 538.197 561.267
3896.03 104.178 102.356 510.539 535.147
3898.94 126.294 97.9339 556.705 531.489
3901.85 63.3297 83.5308 527.224 550.266
3904.76 60.9686 70.0991 566.869 564.321
3907.67 85.9989 62.1739 598.871 603.056
3910.58 39.5542 71.2397 643.43 582.457
3913.49 88.1661 83.1585 505.071 546.383
3916.41 121.755 102.084 490.648 502.841
3919.32 96.3296 110.729 512.804 542.871
3922.23 114.104 93.8854 625.161 600.445
3925.14 71.2232 73.2752 663.37 655.835
3928.05 34.499 65.2288 678.975 635.934
3930.96 89.9643 58.2343 565.455 627.465
3933.87 50.2396 66.7904 637.963 599.915
3936.78 60.1674 63.5061 596.326 618.033
3939.7 80.1112 72.263 619.81 599.547
3942.61 76.5103 77.061 582.503 592.489
3945.52 74.5613 73.2599 575.155 576.965
3948.43 68.7081 80.9095 573.237 584.684
3951.34 99.459 83.599 605.661 625.267
3954.25 82.6298 81.1463 696.904 641.24
3957.16 61.3501 69.9905 621.156 680.549
3960.07 65.9916 72.8142 723.587 684.433
3962.98 91.1009 74.4759 708.555 723.087
3965.89 66.3353 88.5323 737.119 708.01
3968.8 108.161 99.1594 678.355 702.415
3971.72 122.982 116.189 691.77 680.909
3974.63 117.424 132.247 672.601 671.007
3977.54 156.334 136.732 648.652 661.256
3980.45 136.439 158.972 662.516 639.128
3983.36 184.145 161.041 606.215 630.87
3986.27 162.541 176.869 623.879 638.923
3989.18 183.92 171.406 686.673 680.432
3992.09 167.757 191.413 730.742 757.597
3995 222.563 208.674 855.377 805.731
3997.91 235.702 238.876 831.075 834.823
4000.82 258.365 243.175 818.017 845.184
4003.73 235.458 234.953 886.46 848.809
4006.64 211.036 237.328 841.95 899.638
4009.56 265.49 254.926 970.506 929.245
4012.47 288.252 273.757 975.279 966.28
4015.38 267.53 292.102 953.055 992.148
4018.29 320.523 284.412 1048.11 1011.6
4021.2 265.183 280.882 1033.62 1041.96
4024.11 256.941 275.937 1044.15 1026.07
4027.02 305.688 287.495 1000.45 1014.27
4029.93 299.857 321.068 998.219 991.948
4032.84 357.66 345.36 977.175 956.193
4035.75 378.562 342.048 893.186 946.15
4038.66 289.921 348.11 968.089 939.046
4041.57 375.848 356.265 955.862 949.407
4044.48 403.025 416.329 924.269 949.981
4047.39 470.114 410.888 969.812 979.893
4050.3 359.526 426.221 1045.6 1044.04
4053.21 449.024 422.069 1116.7 1058.64
4056.12 457.657 455.581 1013.62 1085.43
4059.03 460.062 447.334 1125.96 1104.81
4061.94 424.284 457.701 1174.85 1144.69
4064.85 488.756 468.498 1133.25 1180.06
4067.76 492.456 458.758 1232.08 1164.09
4070.67 395.064 471.068 1126.95 1173.41
4073.58 525.686 455.63 1161.19 1160.83
4076.49 446.142 487.469 1194.35 1172.76
4079.4 490.579 491.543 1162.74 1151.35
4082.31 537.908 523.092 1096.96 1119.8
4085.22 540.788 526.151 1099.69 1103.59
4088.13 499.757 523.529 1114.12 1119.93
4091.04 530.044 525.464 1145.99 1136.27
4093.95 546.592 538.979 1148.71 1155.79
4096.86 540.303 559.138 1172.68 1190.16
4099.77 590.519 548.243 1249.1 1233.1
4102.68 513.905 519.7 1277.52 1268.39
4105.59 454.676 513.771 1278.55 1260.99
4108.5 572.732 499.262 1226.89 1229.21
4111.41 470.378 509.225 1182.2 1200.84
4114.32 484.565 491.787 1193.44 1150
4117.23 520.418 503.182 1074.36 1095.62
4120.14 504.564 493.813 1019.06 1042.65
4123.05 456.458 458.377 1034.52 1017.78
4125.96 414.109 448.907 999.746 1048.98
4128.87 476.152 439.953 1112.68 1051.82
4131.78 429.599 460.892 1043.02 1103.69
4134.69 476.926 453.124 1155.38 1105.08
4137.6 452.848 436.937 1116.85 1193.96
4140.51 381.037 408.866 1309.65 1224.04
4143.42 392.713 391.764 1245.62 1263.87
4146.33 401.543 390.408 1236.35 1287.13
4149.24 376.968 385.304 1379.42 1291.98
4152.14 377.402 372.084 1260.18 1322.86
4155.05 361.881 336.413 1328.98 1302.55
4157.96 269.958 309.136 1318.5 1290.54
4160.87 295.57 307.087 1224.15 1309.43
4163.78 355.731 315.625 1385.64 1326.88
4166.69 295.572 338.984 1370.85 1389.95
4169.6 365.65 327.366 1413.34 1412.43
4172.51 320.876 336.831 1453.08 1399.85
4175.42 323.967 317.07 1333.13 1385.56
4178.33 306.367 309.577 1370.47 1361.8
4181.24 298.398 306.469 1381.81 1392.93
4184.15 314.643 326.902 1426.52 1369.69
4187.05 367.665 345.784 1300.73 1411.55
4189.96 355.046 364.934 1507.41 1453.19
4192.87 372.092 366.791 1551.41 1470.91
4195.78 373.237 371.226 1353.91 1423.59
4198.69 368.348 382.81 1365.46 1329.77
4201.6 406.845 368.963 1269.93 1356.9
4204.51 331.697 341.145 1435.32 1401.28
4207.42 284.892 332.188 1498.58 1454.04
4210.33 379.975 329.017 1428.23 1471.4
4213.23 322.185 358.17 1487.39 1455.4
4216.14 372.349 366.619 1450.58 1470.54
4219.05 405.323 389.719 1473.65 1487.07
4221.96 391.485 399.834 1536.98 1499.78
