wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal
3506.69 1800.04 1453.12 1366.04 1126.74
3509.61 2559.33 2475.91 2014.2 1963.1
3512.52 3068.36 2975.89 2509.06 2397.03
3515.44 3299.99 3279.51 2667.83 2642.44
3518.36 3470.18 3325.33 2750.42 2653.39
3521.27 3205.81 3340.53 2541.93 2672.93
3524.19 3345.6 3332.03 2726.45 2691.78
3527.11 3444.68 3378.26 2806.95 2726.89
3530.02 3344.5 3402.74 2647.26 2745.67
3532.94 3419.04 3413.2 2782.78 2740.09
3535.86 3476.05 3499.95 2790.23 2818.45
3538.78 3604.76 3572.24 2882.34 2874.19
3541.69 3635.9 3745.12 2950.01 3035.81
3544.61 3994.71 3892.92 3275.08 3152.38
3547.53 4048.15 3987.18 3232.07 3245.24
3550.44 3918.67 4029.02 3228.57 3262.81
3553.36 4120.24 4020.24 3327.81 3276.06
3556.28 4021.81 4054.81 3271.8 3278.68
3559.19 4022.4 4055.46 3236.45 3264.8
3562.11 4122.17 4022.25 3286.16 3236.9
3565.03 3922.18 4044.83 3188.11 3274.56
3567.94 4090.14 3993.45 3349.42 3273.66
3570.86 3968.02 4067.96 3283.44 3355.38
3573.78 4145.73 4104.9 3433.27 3401.02
3576.69 4200.95 4162.43 3486.34 3456.06
3579.61 4140.6 4113.95 3448.57 3404.17
3582.53 4000.3 4062.91 3277.59 3380.87
3585.44 4047.82 4148.98 3416.46 3470.73
3588.36 4398.8 4263.53 3718.13 3589.57
3591.28 4343.96 4384.61 3634.12 3677.17
3594.19 4411.05 4424.18 3679.27 3702.38
3597.11 4517.52 4437.27 3793.73 3714.19
3600.03 4383.22 4448.75 3669.55 3728.71
3602.95 4445.52 4454.78 3722.85 3753.26
3605.86 4535.6 4553.12 3867.36 3866.41
3608.78 4678.24 4629.63 4009.03 3935.92
3611.7 4675.03 4731.99 3931.38 4028.34
3614.61 4842.71 4888.6 4144.6 4144.27
3617.53 5148.07 5030.94 4356.84 4291.55
3620.45 5102.05 5250.31 4373.2 4459.66
3623.36 5500.82 5308.06 4648.93 4501.57
3626.28 5321.3 5216.61 4482.57 4402.33
3629.19 4827.72 5164.91 4075.5 4380.73
3632.11 5345.71 5300.31 4584.13 4530.28
3635.03 5727.52 5601.85 4931.2 4803.62
3637.94 5732.34 5639.93 4895.52 4842.37
3640.86 5459.94 5731.95 4700.39 4930.85
3643.78 6003.58 5755.5 5196.63 4984.07
3646.69 5802.97 5924.11 5055.19 5129.16
3649.61 5965.77 5957.77 5135.66 5158.48
3652.53 6104.58 6033.33 5284.58 5203.26
3655.44 6029.63 6073.79 5189.54 5243.04
3658.36 6087.17 6147.7 5255 5324.85
3661.28 6326.29 6262.76 5530.01 5435.5
3664.19 6374.83 6427.48 5521.48 5613.93
3667.11 6581.33 6408.67 5790.31 5578.48
3670.03 6269.86 6318.97 5423.66 5493.39
3672.94 6105.71 6289.13 5266.22 5427.92
3675.86 6491.82 6249.57 5593.89 5423.44
3678.78 6151.16 6368.96 5410.23 5511.69
3681.69 6463.88 6372.72 5530.94 5550.91
3684.61 6503.13 6561.88 5711.56 5697.06
3687.52 6718.64 6721.22 5848.69 5866.64
3690.44 6941.91 6755.67 6039.67 5882.54
3693.36 6606.45 6810.38 5759.27 5943.65
3696.27 6882.77 6823.79 6032.01 5970.49
3699.19 6982.13 6951.86 6120.2 6063.12
3702.11 6990.68 7110.94 6037.15 6188.66
3705.02 7360 7205.12 6408.63 6253.03
3707.94 7264.69 7408.45 6313.31 6463.72
3710.85 7600.67 7620.9 6669.21 6655.79
3713.77 7997.34 7623.8 6984.85 6636.4
3716.69 7273.39 7706.19 6255.14 6712.73
3719.6 7847.85 7675.46 6898.21 6710.92
3722.52 7905.15 8150.93 6979.4 7204.15
3725.44 8699.8 8344.2 7734.84 7340.16
3728.35 8427.63 8205.5 7306.22 7217.51
3731.27 7489.07 8003.73 6611.47 7033.92
3734.18 8094.49 8315.97 7184.06 7373.2
3737.1 9364.36 9031.21 8324.08 7987.75
3740.02 9634.78 9411.57 8455.12 8298.18
3742.93 9235.58 9061.63 8115.35 7941.91
3745.85 8314.53 8706.33 7255.26 7709.12
3748.76 8568.86 8764.39 7756.74 7783.08
3751.68 9409.76 9324.56 8337.24 8295.42
3754.6 9995.05 10049.1 8792.29 8877.13
3757.51 10742.4 10454.8 9501.87 9168
3760.43 10627.1 10641 9209.84 9337.14
3763.34 10553.6 10218.4 9299.71 8959.87
3766.26 9474.39 9839.1 8370.06 8732.23
3769.18 9489.28 9821.97 8526.93 8773.14
3772.09 10502.3 10649 9422.42 9591.81
3775.01 11955.4 11846.1 10826.1 10627.6
3777.92 13080.8 12669.3 11634.4 11308
3780.84 12971.7 13296.3 11463.6 11764
3783.75 13836.3 13494.5 12194.2 11992.7
3786.67 13675.5 13579.7 12320.4 12094.2
3789.59 13227.2 13003.9 11768.1 11653.1
3792.5 12109.2 12091.1 10870.9 10837.2
3795.42 10936.8 11622.7 9872.58 10491.7
3798.33 11822 11964.9 10731.6 10806.9
3801.25 13135.7 13046.8 11816.6 11748.2
3804.16 14182.5 14142.1 12696.3 12659.4
3807.08 15108.2 15196.4 13465.5 13546.4
3810 16298.4 16048.1 14477.5 14252.9
3812.91 16737.5 16819.2 14815.7 14987.3
3815.83 17421.7 17252.9 15668.7 15433.6
3818.74 17599.6 17212.9 15816.2 15454.7
3821.66 16617.5 16650.7 14879.3 14948.1
3824.57 15734.9 15586.2 14149 13965.6
3827.49 14406.3 14384.1 12868.7 12871.8
3830.4 13011.1 13177.9 11597.8 11814
3833.32 12116.3 12540.2 10975.4 11350.8
3836.24 12493 12675.2 11479.1 11595.2
3839.15 13416.2 13877.7 12331 12695.5
3842.07 15723.7 15284.7 14276.5 13910.2
3844.98 16714.2 16637.2 15123.1 15013.3
3847.9 17473.7 17592.9 15640.4 15844.8
3850.81 18590.7 18616.1 16770.8 16722.4
3853.73 19783.8 19707.7 17755.9 17744.4
3856.64 20748.6 20660.9 18706.6 18640.8
3859.56 21450.3 21133.8 19459.9 19092.3
3862.47 21202.5 21546.2 19110.4 19443.2
3865.39 21985.7 21720.6 19759.4 19567.2
3868.3 21973.7 21682.2 19831.9 19495.5
3871.22 21087.1 21120.2 18895.2 19046.7
3874.13 20299.6 20328.1 18412.9 18341.6
3877.05 19597.6 19421.7 17716.7 17603.4
3879.96 18367.9 18125.8 16680.7 16408.4
3882.88 16411.9 16427.1 14827.8 14893.8
3885.79 14501.6 15123.1 13172.9 13808.3
3888.71 14455.8 14700 13424.1 13539.8
3891.62 15142.6 15483.5 14022.4 14343.3
3894.54 16852 16596.5 15583.5 15304.3
3897.45 17794.9 17886 16307 16400.1
3900.37 19011.2 18907.1 17309.8 17256.9
3903.28 19915.2 20139.7 18153.9 18328.8
3906.2 21492.7 21571 19522.6 19636.9
3909.11 23305.1 22791.9 21234.4 20730
3912.03 23577.9 23596.9 21433 21551.1
3914.94 23907.7 24067.5 21986 22043.8
3917.86 24717 24851.4 22712.3 22810.5
3920.77 25929.5 25661.5 23733.1 23493.8
3923.69 26337.9 25918.6 24035.8 23630.2
3926.6 25488.5 24938.5 23121.7 22700.8
3929.52 22989.2 23734.4 20945 21701.5
3932.43 22725.5 23393.7 21037.8 21516.2
3935.35 24466.4 24144 22565.7 22209.6
3938.26 25240.1 25125.5 23025.4 23063.7
3941.18 25669.8 25349.2 23600.1 23257.5
3944.09 25137.6 25274 23146.9 23259.1
3947 25014.6 25063.1 23030.2 23043.2
3949.92 25037.2 24962.5 22952.4 22922.1
3952.83 24835.5 24900.6 22783.8 22903.7
3955.75 24829 24503.3 22974.7 22533.8
3958.66 23845.4 23506.2 21842.8 21624.7
3961.58 21844.1 21582.7 20056.7 19755.2
3964.49 19058.6 19049.3 17366.1 17495.1
3967.41 16245.2 17386.3 15062.6 16079.8
3970.32 16855 17312.3 15810.7 16184.3
3973.23 18836.7 18666.4 17679.8 17468.5
3976.15 20307.5 20352 18915 18978.1
3979.06 21911.7 21841.1 20339.5 20286.3
3981.98 23304 23510 21604.4 21814.3
3984.89 25314.4 25082 23499 23239.5
3987.8 26627.5 26519.7 24615 24572.3
3990.72 27617.1 27419.9 25602.9 25387.3
3993.63 28015.1 28347.7 25944.1 26235.5
3996.55 29411 29180.6 27159.6 27003
3999.46 30115.7 30179 27905.2 27962.3
4002.37 31010.4 30894.5 28822.1 28727.9
4005.29 31557.4 31761.5 29456.3 29578.5
4008.2 32716.8 32514.4 30457 30262.1
4011.12 33269.1 33423.6 30872.9 31095.2
4014.03 34284.8 34148.3 31955.6 31755
4016.94 34890.8 34464.5 32436.5 32027.4
4019.86 34217.8 34647.9 31690.2 32168.3
4022.77 34835.1 34986.8 32378.4 32490.2
4025.69 35907.3 35060.4 33402.1 32614.2
4028.6 34438.7 34902.3 32062.1 32539.6
4031.51 34360.9 34826.6 32154.5 32545.4
4034.43 35680.2 35384.8 33419.6 33116.2
4037.34 36113.3 35695.5 33774.5 33361.7
4040.25 35292.9 35469.7 32891 33133.3
4043.17 35002.8 35301.1 32734.5 33016.9
4046.08 35607.6 35429.7 33425.3 33205.5
4048.99 35678.5 35546.6 33456.7 33314.8
4051.91 35353.7 35661.7 33062.4 33406.8
4054.82 35952.9 35794.4 33701.3 33531.7
4057.74 36076.6 35771.7 33831.4 33546.3
4060.65 35285.5 35676.3 33106.2 33478.4
4063.56 35666.9 35404.5 33497.7 33259.5
4066.48 35261.2 35242.5 33174.7 33074.5
4069.39 34799.4 34509.3 32551 32345.5
4072.3 33467.3 33252.3 31310.8 31124.8
4075.22 31490.3 32135.2 29512.7 30185
4078.13 31447.9 31574.7 29731.4 29700.4
4081.04 31785.9 31678.3 29857.1 29876.4
4083.95 31801.3 31897.8 30040.7 30057.5
4086.87 32106.2 31922.1 30274.7 30118.6
4089.78 31858.7 31392 30040.4 29503
4092.69 30211 29690.8 28194 27822.8
4095.61 27002.8 27035.3 25234 25248
4098.52 23892 24674.9 22316.2 23171.9
4101.43 23130 23708.7 21965.5 22438
4104.35 24104.2 24407.2 23032.3 23281.8
4107.26 25987.4 26005.6 24847.7 24870.3
4110.17 27925.2 27921.1 26731 26690.1
4113.08 29850.8 29422.5 28491.6 28005
4116 30491.6 30764.4 28792.5 29181.9
4118.91 31950.8 31670.4 30261.5 29998.4
4121.82 32568.9 32719.9 30941 30996.7
4124.73 33639.9 33291.8 31787.5 31556.6
4127.65 33666.7 33921 31941.3 32185.7
4130.56 34456.3 34716.8 32828.3 33037.6
4133.47 36027.3 36176.2 34343.3 34489.4
4136.39 38045 37629 36296.6 35828.3
4139.3 38814.8 38338.1 36845 36447.2
4142.21 38154.5 38752.8 36200.1 36870.4
4145.12 39289.2 39188.3 37566.3 37303.3
4148.04 40121.1 39612.7 38143.6 37706
4150.95 39427.8 39817.4 37408.2 37853.1
4153.86 39903.2 40143 38007.5 38269.7
4156.77 41098 40728.7 39393.4 38918.4
4159.68 41185 41408.8 39354.2 39619.4
4162.6 41943.4 41822.8 40110.5 39984
4165.51 42339.9 42118.3 40487.4 40247.5
4168.42 42071.7 41850.5 40144.5 39975.1
4171.33 41139.9 41431.3 39293.4 39531.6
4174.25 41082.3 41055.9 39156.9 39208.7
4177.16 40945.6 41290.8 39175.8 39479.4
4180.07 41844.4 41463.8 40105.4 39673.3
4182.98 41601.2 41809.6 39738.8 40071.9
4185.89 41983.2 42056.9 40371.5 40366.2
4188.8 42586.3 42344.3 40988.4 40683.1
4191.72 42463.5 42394.2 40689.4 40673.5
4194.63 42132.8 42140.2 40342.8 40334.3
4197.54 41824.4 41853.5 39970.7 40052.7
4200.45 41603.4 42028.8 39844.5 40246.8
4203.36 42658.7 42729.1 40925.4 41100.5
4206.28 43925 43858.1 42531.6 42252
4209.19 44990.6 44502.5 43298.9 42890.3
4212.1 44592 44711.4 42840.6 42967.1
4215.01 44551.5 44818.7 42762 43097.3
4217.92 45312.5 45078.2 43689.4 43295.4
4220.83 45370.7 44815.5 43434.9 43060.7
4223.74 43763.3 44586.1 42057.8 42856.8
4226.66 44624.3 44728.6 43077.6 43101.9
4229.57 45798.1 45168.2 44170.3 43529.9
4232.48 45082.2 45145.6 43341.7 43488.7
4235.39 44556.4 44864.2 42954.1 43268.1
4238.3 44953.9 45125.6 43508.5 43575.6
4241.21 45866.5 45618.3 44264 44045
4244.12 46034.4 45937.5 44362.3 44344.5
4247.03 45911.6 46180.1 44407.1 44654.4
4249.95 46594.2 46477.4 45194 44984.9
4252.86 46926.4 47033.8 45353.5 45503.4
4255.77 47580.6 47223.4 45962.5 45655.7
4258.68 47163.1 47774.7 45651.1 46261.8
4261.59 48580.3 48481.9 47171.7 47061.9
4264.5 49702.5 48947.5 48362.8 47503.2
4267.41 48559.9 48560.9 46975.1 47103.8
4270.32 47420.4 48017.1 45973.5 46586.5
4273.23 48071 48296.6 46810.7 46959.3
4276.14 49398.3 48942.4 48093.5 47624.8
4279.05 49357.9 49383.2 47970.2 47985.3
4281.96 49393.4 49271.5 47892.3 47866.2
4284.88 49063.1 49120.9 47736.2 47691
4287.79 48906.2 48896.1 47444.4 47481.5
4290.7 48719 48751.7 47263.8 47340.9
4293.61 48629.7 48196.3 47314.4 46774.9
4296.52 47240.2 47160.9 45746.4 45817.9
4299.43 45612.7 46140.5 44392.8 44847.9
4302.34 45568.6 45578.2 44404.6 44373.8
4305.25 45553.4 45745.3 44324.1 44570.4
4308.16 46113.9 46085.7 44982.5 44922.5
4311.07 46589.6 46540.1 45460.9 45405.8
4313.98 46916.8 47099.7 45774 45950.3
4316.89 47792.8 47409.5 46615.9 46272.6
4319.8 47518.9 47248.8 46427.9 46115.5
4322.71 46434.7 46404.4 45302.6 45284.9
4325.62 45259.5 44973.9 44124.2 43834.4
4328.53 43227.6 43260.6 42076.5 42102.7
4331.44 41294.6 40687.6 40107.3 39483.3
4334.35 37540.5 37232.3 36266.1 36026.2
4337.26 32861.7 33710.2 31705.2 32629.2
4340.17 30728.4 32003.4 29916.1 31215.7
4343.08 32420.3 32721.4 32025.9 32186.8
4345.99 35015.5 34699.9 34618.3 34301.4
4348.9 36663.9 36833.7 36260.1 36438.2
4351.81 38821.6 39081.4 38436 38673.4
4354.72 41758.7 41311.1 41324 40888
4357.63 43353.1 43508.9 42903.9 43032
4360.54 45414.9 45340.2 44868.1 44784.9
4363.45 47252.7 47203.9 46582.7 46542.6
4366.35 48944 48711 48176.9 47981.6
4369.26 49936.4 49829.6 49185.2 49053
4372.17 50608.4 50650.2 49796.9 49880.2
4375.08 51405.7 51649.7 50658.6 50883.8
4377.99 52935 52159.9 52196 51364.5
4380.9 52138.9 52037.8 51238.8 51222
4383.81 51039.6 51789.1 50231.2 50974
4386.72 52188.7 51744.6 51452 50948.5
4389.63 52005.3 52354.6 51162.3 51567.7
4392.54 52869.8 52587.2 52088.8 51859.5
4395.45 52886.5 52867.1 52327.5 52170.8
4398.35 52844.9 53216.2 52096 52556.9
4401.26 53917.1 53606.5 53247.1 52903.5
4404.17 54057.5 54029 53367.3 53342.1
4407.08 54112.4 54215.6 53411.8 53575.3
4409.99 54476.9 54229 53946.7 53624.6
4412.9 54097.7 54277.2 53515.2 53727.4
4415.81 54257 54195.9 53720.2 53653.3
4418.72 54233 54664.3 53724.4 54125.7
4421.62 55502.9 55059.1 54932.5 54512.3
4424.53 55441.5 55160.3 54879.9 54571.5
4427.44 54536.5 54871.5 53902.2 54316.9
4430.35 54636.4 54682.5 54168.5 54197.5
4433.26 54874.5 55209.4 54521.9 54849.3
4436.17 56117.3 55890.9 55857.5 55492.6
4439.07 56681.1 55970.1 56098.5 55490
4441.98 55112.1 55539.3 54514 55013.8
4444.89 54824.6 54945.9 54429 54487.7
4447.8 54900.9 54797.4 54520 54404.7
4450.71 54666.6 54906.4 54265 54491.6
4453.61 55151.8 54965.8 54689.8 54559.5
4456.52 55079 55003.3 54723.5 54601.1
4459.43 54779.1 54484.4 54389.8 54097.2
4462.34 53595 53967.4 53178.3 53583.2
4465.25 53528.2 53453.1 53181.3 53144.6
4468.15 53235.9 53876.8 53074.1 53660.4
4471.06 54866.2 54860.8 54725.8 54745.9
4473.97 56480.2 55877.6 56437.9 55752
4476.88 56286.3 55939.8 56092.2 55813.8
4479.78 55052.9 55586.4 54911.4 55465.1
4482.69 55420.1 55683.6 55391.6 55604.6
4485.6 56577.9 56140.4 56510.7 56100.1
4488.51 56423.2 56643.3 56398 56651.9
4491.41 56929 56944 57047 56978.3
4494.32 57479.8 57467.9 57489.7 57499.7
4497.23 57995 57963.6 57962.3 58004
4500.13 58415.9 58857.6 58560 58911.8
4503.04 60161.9 59446.9 60213 59517.8
4505.95 59762.9 60094.5 59780.3 60101.6
4508.86 60358.7 60248.8 60311.4 60252.5
4511.76 60624.9 60340.6 60665.9 60339.8
4514.67 60038 59840.3 60042.1 59816.2
4517.58 58858 58841.5 58740.6 58836.6
4520.48 57628.6 57717.7 57727.1 57753
4523.39 56666.4 56938.1 56791.3 57059.1
4526.3 56519.2 56702.1 56658.9 56820
4529.2 56920.9 57102.4 57009.9 57265
4532.11 57867.2 57636 58126.2 57910.2
4535.02 58119.8 58156.7 58594.3 58459
4537.92 58483.2 58385.1 58656.3 58760.3
4540.83 58552.3 58788.7 59030.2 59117.1
4543.74 59330.5 58913.5 59664.7 59273.6
4546.64 58857.6 58644.9 59126 58987.5
4549.55 57746.6 57662 58171.9 57948.1
4552.45 56381.8 56745.8 56546.5 56997.7
4555.36 56109.1 56461.9 56274.7 56692.1
4558.27 56894.7 56896.8 57255.1 57175.2
4561.17 57686.7 57927.4 57995.8 58312.6
4564.08 59200.9 58959.7 59686.9 59432.3
4566.98 59991.3 59788.8 60614.1 60286.5
4569.89 60174.2 60165.1 60558.3 60712.9
4572.8 60329.7 60533.1 60966.3 61123.7
4575.7 61095.4 60680.3 61846.6 61347.3
4578.61 60615.7 60757.1 61228.9 61416.4
4581.51 60560.3 60579.2 61173.8 61225
4584.42 60561.6 60610.1 61272.4 61257.3
4587.32 60708.3 60666.4 61325.8 61319.6
4590.23 60729.2 60551.1 61360.6 61185.1
4593.14 60215.8 60729.1 60868.9 61379.6
4596.04 61242.2 61115 61909.4 61796.2
4598.95 61887.1 61595 62610.3 62299.5
4601.85 61655.8 61767 62378.8 62551.1
4604.76 61758 61955.7 62664.2 62798.3
4607.66 62453.3 62340.8 63351.7 63302.5
4610.57 62811.2 62852 63891.7 63839.2
4613.47 63291.6 62786.5 64274.2 63802.8
4616.38 62256.8 62672.7 63242.6 63621.3
4619.28 62469.8 62768.2 63347.2 63739.5
4622.19 63578 63205.6 64628.6 64195
4625.09 63569.1 63327.1 64609.1 64359.6
4628 62834.2 61578.7 63841.2 64514.3
4630.9 58332.9 59534.3 65092.5 64306.1
4633.81 57435.8 57842.8 63984.7 64522.1
4636.71 57759.8 57722.5 64489.2 64419.4
4639.61 57972 58045.9 64784.4 64893.3
4642.52 58406 58157.6 65406.4 65047.9
4645.42 58094.8 58040.7 64952.8 64951.8
4648.33 57621.2 58151.5 64496.1 65030.6
4651.23 58738.5 58067.2 65642.9 64934.5
4654.14 57842 58381.3 64664.6 65277.9
4657.04 58563.4 58401.7 65526.3 65296.8
4659.94 58799.9 58598.9 65699.5 65496.6
4662.85 58433.3 58113.9 65263.9 64943.8
4665.75 57108.6 57304.4 63867.9 64129.8
4668.66 56371.3 57036.7 63257.5 63897.1
4671.56 57630.2 57493.8 64566 64456.7
4674.46 58480 58283.8 65546.6 65284.2
4677.37 58741.1 58543.8 65739.9 65550.3
4680.27 58410.4 58583.3 65364.5 65588.9
4683.18 58598.2 58746.6 65662.4 65788.8
4686.08 59231.2 58981.5 66339.4 66080.3
4688.98 59115 59174.7 66239.2 66286.3
4691.89 59178.1 59371.2 66280.2 66541.8
4694.79 59820.5 59572.8 67106.1 66804
4697.69 59719.8 59418.3 67025.7 66643.6
4700.6 58714.7 58793.1 65799.1 65964.6
4703.5 57944.8 58366.4 65068.9 65489.1
4706.4 58439.8 58366.1 65599.3 65566.3
4709.31 58713.8 58577.1 66030.6 65784
4712.21 58577.8 58633.2 65722.2 65823.1
4715.11 58607.9 58903.4 65716.5 66093
4718.01 59524.5 59336 66840.2 66606.8
4720.92 59875.8 59705.5 67263.6 67063.5
4723.82 59716.4 59526.2 67086.6 66888.3
4726.72 58986.4 59196.9 66314.6 66536.8
4729.63 58887.9 59091 66209.2 66443.4
4732.53 59398.6 58964.4 66806.4 66282.5
4735.43 58606.7 59061.8 65831.9 66373.8
4738.33 59180.1 58936.4 66483.1 66231.2
4741.24 59022.3 59152.9 66378.6 66490.4
4744.14 59256.4 59143.4 66609.6 66523
4747.04 59151.5 59382.9 66580.8 66766.3
4749.94 59740.8 59436.3 67108.5 66837.6
4752.85 59416.6 59564.7 66823.5 66991.5
4755.75 59536.8 59464.9 67042.5 66895.3
4758.65 59441.2 59423.3 66820 66867
4761.55 59291.7 59296.1 66738.3 66716.5
4764.45 59155.2 59274.8 66591.1 66754.6
4767.36 59377.3 59474.6 66934.3 67008.7
4770.26 59891.4 59803.8 67500.5 67391.3
4773.16 60142.6 60164.5 67739 67778
4776.06 60459.4 60559.9 68094.5 68202
4778.96 61077.5 60577.1 68772.6 68232.9
4781.86 60194.3 60467.5 67831.7 68112.4
4784.76 60130.6 59886.7 67733 67498.5
4787.67 59335.2 59764.7 66930.7 67376.9
4790.57 59828.4 59636.1 67467 67316.5
4793.47 59744.6 59866.3 67551.9 67594.3
4796.37 60025.8 59938.5 67764 67665.1
4799.27 60045.1 60016.2 67679.6 67741.6
4802.17 59977.6 59736.9 67781.1 67430.7
4805.07 59188 59319.3 66831.3 66960.9
4807.97 58792.3 58960.3 66270.2 66566.2
4810.88 58900.6 59056.5 66597 66690.3
4813.78 59476.7 59382.5 67203.6 67110.9
4816.68 59770.4 59230.2 67532.1 66905.8
4819.58 58443.5 58515.2 65981.6 66112.1
4822.48 57331.8 57605.3 64822.6 65139
4825.38 57040.6 56947.5 64612.9 64468.2
4828.28 56470.1 56782 63969.1 64289
4831.18 56835.2 56514.6 64285 63943.9
4834.08 56238.4 56343.7 63577.6 63702.2
4836.98 55957.5 55788.8 63244 63057.1
4839.88 55170.6 54863.9 62349.7 61991.1
4842.78 53463.7 53510.8 60379.7 60484.3
4845.68 51898.2 51945.4 58723.7 58744
4848.58 50474.4 50026.6 57128.7 56608.6
4851.48 47707.2 47279.3 53973.4 53508.3
4854.38 43656.3 43498.3 49422.8 49266.5
4857.28 39131.5 39107.5 44403.4 44360.4
4860.18 34534.7 35969.1 39254.8 40875.7
4863.08 34241.1 35189.6 38968.7 40030
4865.98 36793.1 37047.1 41866.6 42120
4868.88 40107.1 39758 45524.8 45144.4
4871.78 42373.7 42353.1 48041.7 48022
4874.68 44578.4 44762.8 50499.6 50723.2
4877.58 47336.2 47032.8 53628.2 53303.3
4880.48 49183.8 48703.2 55782.1 55218.6
4883.38 49589.7 50041.2 56245.7 56736.2
4886.27 51349.9 50937.5 58180.8 57759.1
4889.17 51872.8 52164.4 58850.8 59155.4
4892.07 53270.6 53258.1 60434.6 60461.3
4894.97 54631 54406.7 62098.5 61753.1
4897.87 55318.4 55174.1 62726.3 62635.6
4900.77 55572.9 55811.7 63082 63344.5
4903.67 56543.9 56437.2 64225.1 64102.2
4906.57 57194.9 57013.4 64999.6 64765.9
4909.47 57301.3 57292.9 65072.9 65095.2
4912.36 57382.6 57433.7 65213.1 65210.1
4915.26 57617.3 56876.9 65344.2 64582.6
4918.16 55630.7 56068.9 63190.3 63654.3
4921.06 54958.8 55432 62428.4 63017.3
4923.96 55706.4 56031.3 63433.3 63731.1
4926.86 57428.7 57154.5 65331.5 65040.1
4929.75 58328.3 57703.9 66355.5 65602.1
4932.65 57354.7 57459.4 65119.2 65317.8
4935.55 56695.2 57273.4 64478.8 65126
4938.45 57770.4 57842.6 65780.2 65836.4
4941.35 59062.3 58687.3 67250.4 66836.3
4944.24 59229.2 59608.9 67478.4 67872.9
4947.14 60535.3 60079.8 68889.8 68381.1
4950.04 60474.9 60321.9 68775.2 68677.7
4952.94 59955.6 60175.3 68368.2 68525.5
4955.83 60095.5 60027.4 68433.1 68413.5
4958.73 60031.2 60450.1 68439.1 68873
4961.63 61223.5 60830.1 69746.9 69326.9
4964.52 61235.6 61050.1 69794.7 69556.3
4967.42 60691.1 60957 69127.3 69471.2
4970.32 60944.3 60971.5 69491.5 69468.4
4973.22 61279 61355.1 69786.3 69924.8
4976.11 61841.9 61239.9 70496.6 69811.3
4979.01 60598.7 60174.8 69150.9 68600.7
4981.91 58083.7 58860.3 66154.5 67133.7
4984.8 57898.4 58308.5 66095.8 66515.4
4987.7 58943.4 58865.6 67295.9 67190.7
4990.6 59755 59839.7 68180.3 68305.4
4993.49 60820.7 60270.1 69440 68790.1
4996.39 60234.5 60250.1 68749.9 68755.6
4999.29 59695.2 59718.8 68076.8 68185.4
5002.18 59226.9 59297.2 67729.5 67702
5005.08 58969.5 59359.6 67299.8 67794.7
