wavelength spec_sum spec_optimal
3527.92 8.02106 12.6607
3530.83 15.5181 13.5453
3533.75 11.8821 10.1114
3536.66 16.4969 17.0468
3539.58 12.5536 3.9089
3542.5 14.2739 17.1121
3545.41 8.87329 15.8423
3548.33 5.44299 11.3587
3551.24 11.9734 16.4478
3554.16 21.0443 24.8519
3557.07 12.051 18.3018
3559.99 12.0296 16.1854
3562.9 15.2696 18.6388
3565.82 12.0408 15.6173
3568.73 16.7942 15.0116
3571.65 19.7945 24.4283
3574.56 9.91868 9.74669
3577.48 13.3782 14.7994
3580.4 13.1694 16.8354
3583.31 14.3276 14.3806
3586.23 15.5587 18.9195
3589.14 15.8996 17.9191
3592.06 19.0289 19.7505
3594.97 11.0668 18.0594
3597.89 15.6094 18.0148
3600.8 19.8795 24.4955
3603.72 21.1879 23.5784
3606.63 14.0045 18.256
3609.55 19.1326 21.3711
3612.46 8.53922 13.9512
3615.38 15.021 18.8145
3618.29 16.7067 23.1439
3621.21 13.2964 16.6523
3624.12 12.9835 21.4707
3627.04 13.5323 12.3876
3629.95 8.73343 12.0563
3632.87 15.6756 20.1931
3635.79 11.842 14.9373
3638.7 12.405 16.4244
3641.62 16.5075 20.0665
3644.53 10.1184 6.7105
3647.45 15.5875 16.8771
3650.36 15.9757 15.3343
3653.28 11.6295 12.7036
3656.19 13.5732 13.7326
3659.11 12.2163 9.88634
3662.02 21.012 23.4019
3664.94 16.7996 20.108
3667.85 18.6587 17.8615
3670.77 14.6054 18.0425
3673.68 8.55765 10.8475
3676.6 12.1631 12.5012
3679.51 10.4394 12.1272
3682.43 16.9851 14.2084
3685.34 18.51 18.022
3688.26 17.3323 18.9509
3691.17 12.0457 14.0002
3694.09 13.912 13.2268
3697 21.1724 19.1542
3699.92 10.0289 9.14095
3702.83 19.504 21.6518
3705.75 18.2932 19.3521
3708.66 17.0656 15.5401
3711.58 15.2603 10.7398
3714.49 19.9523 19.8116
3717.41 11.8445 9.47546
3720.32 19.6737 17.4868
3723.23 20.1061 15.261
3726.15 17.9265 15.9576
3729.06 17.3672 13.2515
3731.98 12.9305 17.1771
3734.89 12.209 12.0696
3737.81 21.3607 15.2408
3740.72 11.7285 10.4132
3743.64 20.4534 19.7786
3746.55 11.2172 12.2335
3749.47 19.334 22.2327
3752.38 18.7962 21.4238
3755.3 14.1044 13.6873
3758.21 21.2773 22.7804
3761.13 22.5842 27.4098
3764.04 24.621 18.8397
3766.96 13.0882 15.4415
3769.87 17.6325 18.3038
3772.78 17.7814 24.1629
3775.7 20.8503 23.1015
3778.61 22.6577 22.9256
3781.53 21.9806 25.4589
3784.44 23.4274 31.0607
3787.36 19.4087 26.3877
3790.27 20.064 22.144
3793.19 17.1993 24.3033
3796.1 19.2142 21.3645
3799.01 13.2243 17.8192
3801.93 14.6963 14.7586
3804.84 18.1874 20.6534
3807.76 17.2978 18.5504
3810.67 12.8295 16.0197
3813.59 17.4086 15.8647
3816.5 19.7448 22.7112
3819.42 18.7111 23.3967
3822.33 19.993 23.7288
3825.24 19.0092 20.7218
3828.16 15.7559 18.0778
3831.07 19.5395 24.4405
3833.99 19.8988 20.7155
3836.9 23.3919 22.2239
3839.81 29.1515 29.3447
3842.73 18.9525 25.9707
3845.64 19.996 26.274
3848.56 18.5353 19.1754
3851.47 22.4276 23.2797
3854.38 18.3239 19.0321
3857.3 19.7134 22.7313
3860.21 18.6861 20.1117
3863.13 19.8839 21.7964
3866.04 19.4388 20.9174
3868.95 19.62 23.1639
3871.87 19.0059 19.9513
3874.78 16.7266 21.7633
3877.7 15.6179 17.9384
3880.61 17.1945 18.9702
3883.52 19.3487 20.1439
3886.44 22.299 24.5901
3889.35 16.2267 16.338
3892.27 15.9144 17.5872
3895.18 17.9519 16.0328
3898.09 17.9092 19.9404
3901.01 15.867 15.1335
3903.92 19.5822 20.2492
3906.83 19.5751 20.8543
3909.75 25.5314 29.444
3912.66 17.5559 23.681
3915.58 27.3907 33.124
3918.49 25.7857 30.3988
3921.4 23.5917 27.4268
3924.32 21.9999 27.5746
3927.23 22.7967 20.917
3930.14 23.0431 24.3348
3933.06 19.9752 22.6724
3935.97 21.8724 19.9369
3938.88 22.5219 23.2189
3941.8 17.4562 18.8658
3944.71 19.6555 20.1394
3947.62 21.6691 24.622
3950.54 21.2321 27.7183
3953.45 26.274 30.032
3956.36 18.3446 22.0042
3959.28 21.5597 24.3345
3962.19 21.0479 26.8487
3965.1 23.9469 22.3035
3968.02 20.3104 24.1579
3970.93 26.9318 28.2245
3973.84 20.8484 25.6049
3976.76 21.1423 26.3406
3979.67 24.5424 27.0736
3982.58 22.3362 22.2356
3985.49 23.4551 21.7777
3988.41 19.6044 19.1989
3991.32 19.0781 20.8304
3994.23 20.9328 23.9706
3997.15 22.8716 24.8804
4000.06 20.6052 22.665
4002.97 22.3908 24.1848
4005.89 20.1053 25.2107
4008.8 20.3995 23.3155
4011.71 25.1064 29.3756
4014.62 24.3668 29.9139
4017.54 21.8752 23.5622
4020.45 22.6308 24.8678
4023.36 23.0974 24.706
4026.27 15.2854 18.8878
4029.19 16.093 20.3698
4032.1 20.7693 21.5863
4035.01 17.6504 23.6234
4037.92 25.9066 30.0732
4040.84 23.1561 23.5569
4043.75 27.5362 31.7374
4046.66 25.2201 27.1108
4049.57 27.0243 29.7972
4052.49 25.3797 31.9272
4055.4 33.449 35.7736
4058.31 29.2103 29.4487
4061.22 27.6861 32.1516
4064.14 28.481 30.1835
4067.05 29.3339 31.7867
4069.96 29.5906 31.5993
4072.87 31.3391 33.0346
4075.79 33.0876 37.0968
4078.7 30.4681 32.012
4081.61 31.1648 36.0507
4084.52 33.1093 36.3709
4087.43 31.3762 38.3725
4090.35 31.4651 33.2596
4093.26 29.157 33.6808
4096.17 33.9964 35.1005
4099.08 33.1428 35.5877
4101.99 28.8854 29.4711
4104.91 32.5138 37.756
4107.82 30.1739 32.0934
4110.73 35.3001 35.3185
4113.64 31.1319 36.982
4116.55 29.8365 32.7013
4119.46 32.5194 33.8729
4122.38 24.8612 28.0339
4125.29 29.4455 36.0597
4128.2 28.4703 30.39
4131.11 35.6534 36.5517
4134.02 29.3706 27.8321
4136.93 34.3396 38.0792
4139.85 32.8846 38.9188
4142.76 29.2973 33.2876
4145.67 33.1774 37.0691
4148.58 32.3967 34.0596
4151.49 30.6134 34.0698
4154.4 29.3463 33.2637
4157.31 32.9624 36.9894
4160.22 26.1655 29.8686
4163.14 29.2224 36.5207
4166.05 28.8689 30.9002
4168.96 30.6763 34.9511
4171.87 30.5428 34.6697
4174.78 30.2544 34.7688
4177.69 32.034 34.7107
4180.6 30.551 35.7465
4183.51 31.3327 35.7471
4186.42 29.466 33.535
4189.34 30.078 33.7995
4192.25 33.3265 35.8071
4195.16 33.2797 36.0856
4198.07 28.5971 31.5685
4200.98 31.862 33.9711
4203.89 32.8466 35.809
4206.8 34.7599 37.9962
4209.71 32.2531 33.0767
4212.62 30.6846 34.5348
4215.53 33.5741 38.458
4218.44 30.5076 33.0028
4221.35 31.1859 36.2531
4224.26 33.2975 37.4941
4227.17 31.5414 31.5214
4230.08 32.2139 33.1257
4232.99 29.4379 33.7228
4235.9 29.5669 35.105
4238.81 30.3178 34.3601
4241.73 33.4811 37.8672
4244.64 31.2988 35.8477
4247.55 32.1686 34.8267
4250.46 32.8224 36.4283
4253.37 31.1645 33.0062
4256.28 33.1931 35.2201
4259.19 30.6016 33.0697
4262.1 27.4894 32.6828
4265.01 28.9375 33.059
4267.92 34.7983 37.8665
4270.83 31.0591 32.7414
4273.74 28.2584 31.6648
4276.65 30.9242 35.6683
4279.55 28.7114 32.5861
4282.46 27.361 30.3298
4285.37 34.1203 40.0964
4288.28 33.7599 38.5382
4291.19 34.4094 38.3895
4294.1 30.5243 35.93
4297.01 32.4859 35.2265
4299.92 29.8888 35.1211
4302.83 35.5195 39.8255
4305.74 33.3834 36.1222
4308.65 34.2989 37.0991
4311.56 31.645 36.0182
4314.47 37.1916 40.7631
4317.38 34.1578 36.7588
4320.29 33.4403 36.8977
4323.2 32.6774 35.5939
4326.11 37.7252 40.12
4329.01 30.4623 34.5503
4331.92 31.3305 39.8754
4334.83 35.7628 38.4129
4337.74 33.1407 37.2872
4340.65 31.0742 35.1078
4343.56 32.1993 34.0688
4346.47 31.7337 33.9764
4349.38 30.3006 33.4581
4352.29 30.9828 34.4012
4355.19 30.6411 37.1343
4358.1 32.9488 38.7274
4361.01 29.5078 32.7877
4363.92 28.9988 33.7071
4366.83 29.3513 32.2335
4369.74 30.1661 34.6663
4372.65 27.4138 31.5985
4375.55 27.2472 32.3267
4378.46 29.2227 32.8289
4381.37 33.6262 38.9055
4384.28 31.6017 37.6391
4387.19 31.3611 35.8756
4390.09 31.2255 35.4857
4393 34.4357 37.9676
4395.91 34.5974 37.9967
4398.82 31.5401 35.0025
4401.73 31.2492 35.3353
4404.63 32.5287 36.5647
4407.54 33.2798 38.3457
4410.45 36.7595 38.7264
4413.36 33.1808 36.9629
4416.27 30.7841 32.0132
4419.17 33.95 38.937
4422.08 34.7947 39.1682
4424.99 35.9232 42.7693
4427.9 34.7694 38.4448
4430.8 36.0737 39.1022
4433.71 32.6556 42.1129
4436.62 32.9463 37.7512
4439.53 38.6808 42.648
4442.43 37.0626 40.6626
