wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal
3507.1 35.499 19.6633 36.964 20.4458
3510.01 23.491 32.5822 24.3734 34.4968
3512.93 38.7566 30.9333 42.1528 34.241
3515.85 30.5524 32.6136 36.1967 35.9266
3518.76 28.5319 31.9057 29.4302 33.2945
3521.68 36.633 29.352 34.2567 27.3639
3524.6 22.8913 28.5825 18.4047 26.3445
3527.51 26.2232 25.8394 26.3722 24.5046
3530.43 28.4037 24.742 28.737 25.6554
3533.35 19.5992 28.4753 21.857 29.3028
3536.26 37.4232 24.2642 37.3143 22.664
3539.18 15.7703 29.481 8.8207 28.2117
3542.1 35.2497 26.3106 38.5 27.8236
3545.02 27.9119 29.881 36.1502 33.5979
3547.93 26.4813 38.4008 26.1434 33.525
3550.85 60.8093 53.0744 38.2816 40.9449
3553.77 71.9326 60.5015 58.4097 46.6935
3556.68 48.7627 52.2703 43.3892 46.8101
3559.6 36.1156 46.4657 38.6314 42.3045
3562.52 54.5188 41.2404 44.8929 40.5067
3565.43 33.0868 41.6255 37.9957 39.8941
3568.35 37.2708 45.2049 36.7936 44.9898
3571.27 65.2572 42.6848 60.1801 40.4117
3574.18 25.5263 45.7045 24.2614 40.4983
3577.1 46.33 39.1155 37.0535 34.6088
3580.02 45.4903 43.4021 42.5116 38.7389
3582.93 38.386 44.8349 36.6516 42.5737
3585.85 50.6285 44.4852 48.5579 43.8575
3588.77 44.4411 47.5388 46.3629 48.8556
3591.68 47.547 46.7909 51.646 48.5461
3594.6 48.3847 47.9204 47.6293 49.095
3597.52 47.8295 55.2656 48.0096 53.8767
3600.44 69.5827 61.1317 65.9912 59.3754
3603.35 65.983 59.4584 64.1254 60.106
3606.27 42.8097 53.7741 50.2015 57.8997
3609.19 52.5296 42.8044 59.3723 49.6129
3612.1 33.0738 45.4584 39.2649 50.7121
3615.02 50.7718 49.5078 53.499 53.1198
3617.94 64.6777 51.9128 66.5955 56.1975
3620.85 40.289 55.6653 48.4979 59.4316
3623.77 62.0293 51.1574 63.2015 49.5544
3626.69 51.1538 50.7699 36.9638 45.5253
3629.6 39.1265 50.1788 36.4106 44.9947
3632.52 60.256 45.4195 61.6096 48.0429
3635.44 36.876 52.4275 46.1084 53.0044
3638.35 60.1505 55.3294 51.2952 53.6331
3641.27 68.9616 54.0456 63.4956 45.4389
3644.18 33.0247 53.3157 21.5258 46.5879
3647.1 57.9607 49.105 54.7424 42.18
3650.02 56.3295 54.1588 50.2719 49.0567
3652.93 48.1861 50.1328 42.1558 46.1752
3655.85 45.8827 47.9555 46.098 40.6036
3658.77 49.7978 58.9982 33.557 53.2952
3661.68 81.3142 66.3648 80.2307 61.1929
3664.6 67.9824 74.3089 69.7909 70.9503
3667.52 73.6301 66.5966 62.8293 65.5757
3670.43 58.1772 57.9699 64.1068 55.3047
3673.35 42.1024 51.608 38.9779 49.5017
3676.27 54.5444 45.9528 45.4204 42.9554
