wavelength spec_sum spec_optimal
3527.11 1570.03 1594.99
3530.02 1497.28 1476.8
3532.94 1505.7 1525.94
3535.86 1507.93 1505.67
3538.78 1542.29 1532.16
3541.69 1535.98 1546.18
3544.61 1667.76 1693.74
3547.53 1671.62 1650.38
3550.44 1601.66 1628.75
3553.36 1667.81 1659.31
3556.28 1613.04 1613.02
3559.19 1599.13 1578.15
3562.11 1624.83 1585.13
3565.03 1533.1 1521.45
3567.94 1585.59 1581.53
3570.86 1525.53 1533.88
3573.78 1580.54 1586.65
3576.69 1587.97 1593.66
3579.61 1551.41 1558.84
3582.53 1485.18 1464.63
3585.44 1488.58 1508.79
3588.36 1601.68 1622.2
3591.28 1565.55 1565.97
3594.19 1573.07 1565.54
3597.11 1593.65 1593.59
3600.03 1529.22 1521.44
3602.95 1533.53 1523.3
3605.86 1546.8 1561.56
3608.78 1576.99 1597.21
3611.7 1557.49 1545.32
3614.61 1594.4 1607.36
3617.53 1674.84 1666.99
3620.45 1640.11 1650.81
3623.36 1747.27 1731.5
3626.28 1670.08 1647.3
3629.19 1497.18 1477.93
3632.11 1638.14 1640.51
3635.03 1734.4 1741.69
3637.94 1715.55 1706.82
3640.86 1615 1617.85
3643.78 1755.32 1766.07
3646.69 1677.37 1696.69
3649.61 1705 1702.55
3652.53 1725.28 1730.77
3655.44 1685.51 1679.55
3658.36 1683.27 1680.93
3661.28 1730.86 1748.66
3664.19 1726.01 1726.39
3667.11 1763.6 1790.41
3670.03 1663.1 1658.77
3672.94 1603.41 1593.38
3675.86 1687.97 1674.59
3678.78 1583.79 1602.68
3681.69 1648.3 1621.56
3684.61 1642.48 1657.41
3687.52 1680.93 1680.11
3690.44 1720.54 1717.6
3693.36 1622.2 1621.61
3696.27 1674.55 1681.75
3699.19 1683.2 1689.67
3702.11 1669.97 1650.56
3705.02 1742.4 1735.28
3707.94 1704.42 1693.06
3710.85 1767.4 1771.48
3713.77 1843.13 1837.66
3716.69 1661.46 1630.06
3719.6 1776.93 1780.69
3722.52 1774.18 1784.63
3725.44 1935.41 1959.13
3728.35 1858.51 1833.18
3731.27 1637.11 1643.22
3734.18 1754.06 1768.75
3737.1 2011.53 2030.09
3740.02 2051.56 2042.58
3742.93 1949.45 1942.03
3745.85 1739.7 1719.78
3748.76 1777.29 1821.28
3751.68 1934.6 1938.99
3754.6 2036.9 2025.37
3757.51 2170.01 2168.02
3760.43 2127.79 2081.31
3763.34 2094.44 2081.55
3766.26 1863.58 1855.47
3769.18 1849.89 1872.03
3772.09 2029.14 2048.71
3775.01 2289.16 2331.09
3777.92 2482.16 2480.85
3780.84 2439.17 2420.57
3783.75 2578.17 2549.71
3786.67 2524.93 2550.77
3789.59 2419.73 2412.39
3792.5 2194.83 2206.47
3795.42 1963.94 1983.92
3798.33 2103.15 2135.09
3801.25 2314.94 2327.4
3804.16 2475.92 2475.6
3807.08 2612.55 2599.1
3810 2791.58 2766.2
3812.91 2839.61 2802.3
3815.83 2927.55 2933.7
3818.74 2929.42 2931.56
3821.66 2739.7 2730.17
3824.57 2569.72 2570.25
3827.49 2330.58 2314.37
3830.4 2085.21 2065.19
3833.32 1923.73 1935.11
3836.24 1965.2 2004.13
3839.15 2091.14 2132.07
3842.07 2428.55 2444.73
3844.98 2558.41 2565.16
3847.9 2650.9 2627.95
3850.81 2795.69 2791.78
3853.73 2949.33 2928.64
3856.64 3066.84 3057.6
3859.56 3143.9 3152.33
3862.47 3081.96 3068.6
3865.39 3169.82 3145.36
3868.3 3142.89 3130.15
3871.22 2992.48 2957.4
3874.13 2858.71 2858.37
3877.05 2739.14 2728.2
3879.96 2548.48 2548.49
3882.88 2260.71 2247.88
3885.79 1983.53 1981.89
3888.71 1963.6 2004.62
3891.62 2042.98 2078.66
3894.54 2258.46 2293.41
3897.45 2369.27 2382.91
3900.37 2514.93 2511.77
3903.28 2617.89 2616.18
3906.2 2807.65 2794.32
3909.11 3025.77 3019.05
3912.03 3042.66 3027.14
3914.94 3066.85 3085.04
3917.86 3151.97 3166.39
3920.77 3287.39 3287.66
3923.69 3319.92 3308.56
3926.6 3194.6 3162.89
3929.52 2865.08 2847.38
3932.43 2816.42 2842.48
3935.35 3015.34 3030.34
3938.26 3093.62 3073.42
3941.18 3129.07 3131.2
3944.09 3047.58 3052.78
3947 3016.31 3019.39
3949.92 3002.77 2991.39
3952.83 2962.65 2951.99
3955.75 2946.04 2959.26
3958.66 2814.31 2797.08
3961.58 2564.42 2553.4
3964.49 2225.61 2198.07
3967.41 1887.05 1895.47
3970.32 1947.6 1978.16
3973.23 2165.18 2199.3
3976.15 2321.99 2339.42
3979.06 2492.32 2501.2
3981.98 2636.81 2641.5
3984.89 2849.35 2856.73
3987.8 2981.53 2975.31
3990.72 3076.18 3077
3993.63 3104.26 3100.21
3996.55 3241.9 3226.86
3999.46 3302.28 3296.51
4002.37 3382.66 3385.37
4005.29 3424.3 3440
4008.2 3531.56 3536.49
4011.12 3572.33 3564.15
4014.03 3662.1 3667.95
4016.94 3707.27 3701.72
4019.86 3616.58 3595.62
4022.77 3662.42 3652.47
4025.69 3755.17 3746.07
4028.6 3582.59 3574.97
4031.51 3555.66 3564.54
4034.43 3672.7 3683.31
4037.34 3697.8 3700.99
4040.25 3594.92 3583.5
4043.17 3546.79 3546.01
4046.08 3589.44 3600.27
4048.99 3578.14 3583.31
4051.91 3527.47 3521.17
4054.82 3569.16 3569.27
4057.74 3563.49 3563.24
4060.65 3468.14 3467.85
4063.56 3488.51 3489.94
4066.48 3432.15 3437.8
4069.39 3371.11 3355.43
4072.3 3226.88 3210.84
4075.22 3022.23 3010.92
4078.13 3004.49 3017.97
4081.04 3023.28 3015.73
4083.95 3011.56 3019.53
4086.87 3027.41 3028.5
4089.78 2991.54 2991.02
4092.69 2825.25 2794.35
4095.61 2515.15 2489.75
4098.52 2216.74 2192.22
4101.43 2137.85 2148.48
4104.35 2219.51 2243.24
4107.26 2384.07 2409.92
4110.17 2552.46 2581.82
4113.08 2718.56 2740.53
4116 2766.85 2758.07
4118.91 2888.79 2886.9
4121.82 2934.02 2939.61
4124.73 3019.49 3007.58
4127.65 3010.78 3009.53
4130.56 3069.98 3080.13
4133.47 3197.9 3208.6
4136.39 3364.08 3376.44
4139.3 3418.81 3412.45
4142.21 3347.32 3337.78
4145.12 3432.88 3447.98
4148.04 3490.94 3484.63
4150.95 3415.97 3401.17
4153.86 3441.99 3438.79
4156.77 3529.04 3546.33
4159.68 3520.05 3524.56
4162.6 3567.6 3573.21
4165.51 3583.48 3587.14
4168.42 3542.57 3536.83
4171.33 3445.91 3441.95
4174.25 3422.51 3409.8
4177.16 3392.42 3391.1
4180.07 3447.59 3450.57
4182.98 3408.25 3398.14
4185.89 3420.02 3431.01
4188.8 3449.35 3461.93
4191.72 3419.66 3415.36
4194.63 3373.64 3365.38
4197.54 3329.88 3313.86
4200.45 3293.55 3283.26
4203.36 3358.18 3351.98
4206.28 3438.67 3462.71
4209.19 3502.91 3504.51
4212.1 3453.32 3447.46
4215.01 3432.13 3421.75
4217.92 3472.94 3476.74
4220.83 3460.16 3438.02
4223.74 3321.54 3311.77
4226.66 3371.14 3375.06
4229.57 3444.43 3444.04
4232.48 3376.17 3363.88
4235.39 3323.32 3319.2
4238.3 3340.17 3348.09
4241.21 3395.75 3392.91
4244.12 3396.7 3387.92
4247.03 3376.9 3379.54
4249.95 3416.83 3428.06
4252.86 3431.46 3429.39
4255.77 3469.96 3465.06
4258.68 3430.71 3431.74
4261.59 3525.15 3536.29
4264.5 3598.07 3615.93
4267.41 3507.33 3503.07
4270.32 3417.4 3419.66
4273.23 3456.72 3473.2
4276.14 3544.49 3559.49
4279.05 3533.96 3541.51
4281.96 3528.86 3526.88
4284.88 3497.56 3506.39
4287.79 3478.61 3475.89
4290.7 3457.38 3453.41
4293.61 3442.91 3447.57
4296.52 3336.35 3323.77
4299.43 3213.2 3215.8
4302.34 3201.53 3206.62
4305.25 3191.5 3190.34
