wavelength spec_sum spec_optimal
3527.51 11.9216 14.9464
3530.43 12.6855 15.9914
3533.35 8.6123 11.9575
3536.26 16.2025 20.093
3539.18 6.73511 4.67949
3542.1 14.8657 20.1401
3545.02 11.6345 18.6614
3547.93 10.9192 13.3269
3550.85 24.8197 19.2802
3553.77 29.0788 29.0773
3556.68 19.5334 21.3586
3559.6 14.3406 18.8085
3562.52 21.4641 21.6221
3565.43 12.9182 18.106
3568.35 14.4316 17.3472
3571.27 25.0592 28.0711
3574.18 9.72046 11.1954
3577.1 17.4915 16.9114
3580.02 17.0229 19.1857
3582.93 14.2331 16.352
3585.85 18.5931 21.4082
3588.77 16.1588 20.1929
3591.68 17.1113 22.2164
3594.6 17.2289 20.23
3597.52 16.8469 20.1301
3600.44 24.2379 27.3103
3603.35 22.726 26.1908
3606.27 14.5759 20.2323
3609.19 17.6782 23.6095
3612.1 11.0007 15.4055
3615.02 16.6881 20.7087
3617.94 21.0065 25.4322
3620.85 12.93 18.2734
3623.77 19.6697 23.4951
3626.69 16.0275 13.5583
3629.6 12.1136 13.1792
3632.52 18.434 22.0072
3635.44 11.1482 16.2555
3638.35 17.9719 17.8516
3641.27 20.3649 21.8157
3644.18 9.64048 7.30291
3647.1 16.727 18.3413
3650.02 16.0734 16.6373
3652.93 13.5977 13.7839
3655.85 12.8063 14.8945
3658.77 13.7498 10.7165
3661.68 22.2153 25.3304
3664.6 18.3796 21.7871
3667.52 19.7023 19.3973
3670.43 15.4103 19.5772
3673.35 11.041 11.7757
3676.27 14.1628 13.5769
3679.18 10.597 13.1539
3682.1 14.5633 15.4521
3685.02 17.8224 19.6066
3687.93 15.4172 20.6226
3690.85 15.3786 15.2228
3693.76 13.3479 14.4117
3696.68 18.8569 20.8388
3699.6 11.4261 9.976
3702.51 23.0501 23.5711
3705.43 21.3203 21.0666
3708.35 15.759 16.9338
3711.26 13.1005 11.7036
3714.18 21.7961 21.552
3717.1 13.1397 10.3028
3720.01 17.8212 19.002
3722.93 19.1161 16.5555
3725.84 13.8713 17.3119
3728.76 18.1976 14.3525
3731.68 16.1866 18.5751
3734.59 12.5911 13.0403
3737.51 16.0286 16.4436
3740.42 14.1017 11.231
3743.34 20.9952 21.2567
3746.26 12.7411 13.1081
