wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal spectrum_snr
3508.41 25.8615 14.2533 36.9578 20.4449 nan
3511.32 16.8985 22.9258 24.3769 34.488 nan
3514.23 26.0173 21.7452 42.1293 34.2411 nan
3517.15 22.3198 26.313 36.2172 35.9412 nan
3520.06 30.6019 28.4651 29.4769 33.328 nan
3522.97 32.4737 28.0453 34.2897 27.3826 nan
3525.88 21.0604 23.5436 18.3811 26.3457 nan
3528.8 17.0966 24.2591 26.3662 24.5007 17.5749
3531.71 34.6204 26.2689 28.7548 25.6645 23.8252
3534.62 27.0898 32.9785 21.8726 29.3265 9.98713
3537.53 37.2253 32.969 37.3522 22.6492 6.91109
3540.45 34.5917 36.2557 8.72278 28.1901 6.01148
3543.36 36.9502 30.7805 38.4954 27.7764 5.92043
3546.27 20.7998 24.6244 36.1111 33.5788 3.87533
3549.18 16.1233 22.1309 26.1298 33.4951 2.7609
3552.1 29.4697 31.5259 38.2444 40.9189 4.03427
3555.01 48.9848 33.3278 58.3825 46.6722 6.29246
3557.92 21.5289 36.0336 43.3896 46.81 3.61612
3560.83 37.5872 31.9721 38.6579 42.3196 7.03077
3563.75 36.8001 36.9749 44.9115 40.5005 6.55812
3566.66 36.5375 40.6142 37.9321 39.8659 12.2932
3569.57 48.5051 44.3098 36.754 44.9659 11.6109
3572.48 47.8867 43.8751 60.2116 40.4074 8.53943
3575.4 35.2337 37.6238 24.2566 40.5089 nan
3578.31 29.751 34.4171 37.0584 34.609 7.46723
3581.22 38.2665 34.0472 42.5119 38.7384 9.83216
3584.13 34.124 37.7912 36.645 42.5726 24.9581
3587.05 40.9831 40.4123 48.5609 43.8674 10.1719
3589.96 46.1299 44.1116 46.3962 48.8563 15.272
3592.87 45.2218 40.7764 51.612 48.5476 15.4203
3595.79 30.9774 36.3653 47.6348 49.0957 8.09224
3598.7 32.8967 40.8318 48.0402 53.8895 8.18872
3601.61 58.6212 52.6607 65.9935 59.3882 8.94391
3604.52 66.4643 53.0212 64.1308 60.1155 11.9407
3607.44 33.978 52.5002 50.2222 57.9291 8.32216
3610.35 57.0583 41.3175 59.4344 49.635 9.61292
3613.26 32.9162 47.8206 39.2485 50.7303 7.00122
3616.17 53.4873 48.2909 53.5081 53.114 8.14006
3619.09 58.4692 56.1687 66.5854 56.1916 7.91791
3622 56.5496 52.8284 48.4814 59.4267 9.20135
3624.91 43.4662 46.6248 63.2134 49.5395 6.24323
3627.82 39.8585 38.4422 36.9236 45.4976 5.1583
3630.74 32.0018 41.7323 36.3558 44.9655 4.69525
3633.65 53.3366 43.0682 61.6171 48.0221 6.57263
3636.56 43.866 45.6075 46.0935 52.9997 6.13641
3639.47 39.62 48.0521 51.2886 53.6184 5.25842
3642.39 60.6703 46.3154 63.4731 45.4118 7.0086
3645.3 38.6558 52.9061 21.4738 46.5353 5.91769
3648.21 59.3923 51.3802 54.6589 42.1328 7.4901
3651.13 56.0925 54.0567 50.2657 49.0198 7.29645
3654.04 46.6854 53.3109 42.1347 46.1507 6.06449
3656.95 57.1547 49.1372 46.0516 40.5728 7.518
3659.86 43.5714 56.4791 33.5322 53.3053 5.5888
3662.78 68.7111 58.996 80.3321 61.2219 7.95992
3665.69 64.7054 65.7974 69.8014 70.9678 7.59397
