Pixel "Lamp lines" "Fitted lines"
237.0 4198.767347724697 4198.317
263.0 4272.490876305506 4272.1689
316.0 4429.296772687661 4430.189
334.0 4480.749879843548 4481.8107
344.0 4510.702648007806 4510.7332
356.0 4545.43993134281 4545.0519
395.0 4658.458199318749 4657.9012
420.0 4731.448838296601 4732.0532
432.0 4765.615845376513 4764.8646
446.0 4806.151780146109 4806.0205
472.0 4882.239078173603 4882.2432
501.0 4966.086841041084 4965.0795
519.0 5016.742663058517 5017.1628
578.0 5186.881838672649 5187.7462
685.0 5498.15651171157 5498.1841
723.0 5606.91474625071 5606.733
821.0 5887.757802245806 5888.5841
829.0 5912.532767582758 5912.0853
920.0 6171.141390383906 6170.174
1006.0 6416.232580058413 6416.3071
1098.0 6677.00461682819 6677.2817
1125.0 6753.41743183689 6752.8335
1200.0 6965.0957343099135 6965.4307
1236.0 7066.862474455078 7067.2181
1265.0 7147.0904361701605 7147.0416
1310.0 7272.735021396843 7272.9359
1350.0 7383.757897511085 7383.9805
1440.0 7635.010565845887 7635.106
1472.0 7724.027049694114 7724.2072
1554.0 7948.5791371537325 7948.1764
1670.0 8265.758340616805 8264.5225
1729.0 8423.644055952322 8424.6475
