wavelength spec_sum spec_optimal
3527.11 1568.61 1595
3530.02 1497.44 1476.8
3532.94 1505.66 1525.94
3535.86 1509.27 1505.67
3538.78 1540.99 1532.16
3541.69 1536.88 1546.17
3544.61 1669.67 1693.75
3547.53 1669.64 1650.39
3550.44 1599.85 1628.74
3553.36 1667.49 1659.31
3556.28 1615.26 1613.01
3559.19 1600.39 1578.14
3562.11 1625.35 1585.13
3565.03 1532.14 1521.44
3567.94 1586.4 1581.53
3570.86 1524.05 1533.87
3573.78 1582.43 1586.65
3576.69 1585.91 1593.66
3579.61 1549.31 1558.85
3582.53 1486.86 1464.62
3585.44 1489.32 1508.79
3588.36 1600.89 1622.19
3591.28 1565.33 1565.97
3594.19 1573.63 1565.54
3597.11 1595.53 1593.59
3600.03 1529.17 1521.44
3602.95 1533.67 1523.29
3605.86 1547.17 1561.57
3608.78 1576.43 1597.21
3611.7 1557.18 1545.33
3614.61 1594.75 1607.37
3617.53 1674.57 1667
3620.45 1639.62 1650.81
3623.36 1749 1731.5
3626.28 1668.79 1647.3
3629.19 1497.28 1477.92
3632.11 1636.87 1640.5
3635.03 1733.58 1741.69
3637.94 1716.3 1706.82
3640.86 1614.94 1617.85
3643.78 1756.23 1766.08
3646.69 1676.01 1696.68
3649.61 1704.64 1702.55
3652.53 1725.69 1730.77
3655.44 1684.22 1679.56
3658.36 1683.25 1680.93
3661.28 1731.38 1748.65
3664.19 1725.11 1726.4
3667.11 1763.66 1790.4
3670.03 1664.59 1658.76
3672.94 1602.98 1593.38
3675.86 1686.9 1674.6
3678.78 1585.36 1602.67
3681.69 1646.32 1621.56
3684.61 1643.32 1657.41
3687.52 1681.28 1680.11
3690.44 1722 1717.6
3693.36 1622.07 1621.62
3696.27 1674.84 1681.74
3699.19 1682.41 1689.67
3702.11 1670.1 1650.56
3705.02 1743.95 1735.28
3707.94 1704.77 1693.07
3710.85 1767.97 1771.48
3713.77 1843.52 1837.66
3716.69 1660.82 1630.07
3719.6 1777.32 1780.69
3722.52 1774.43 1784.63
3725.44 1935.52 1959.12
3728.35 1858.51 1833.18
3731.27 1636.27 1643.22
3734.18 1753 1768.75
3737.1 2011.02 2030.09
3740.02 2052.36 2042.58
3742.93 1950.04 1942.03
3745.85 1739.54 1719.77
3748.76 1777.88 1821.27
3751.68 1933.83 1938.99
3754.6 2036.37 2025.37
3757.51 2169.08 2168.03
3760.43 2127.49 2081.32
3763.34 2093.95 2081.55
3766.26 1862.99 1855.47
3769.18 1850.08 1872.03
3772.09 2029.43 2048.71
