wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal spectrum_snr
3506.69 1800.41 1454.13 1365.55 1126.35 45.272
3509.61 2561.99 2478.45 2013.5 1962.41 54.0171
3512.52 3072.96 2978.04 2508.17 2396.19 59.1486
3515.44 3299.17 3281.35 2666.9 2641.51 61.3099
3518.36 3471.93 3326.61 2749.47 2652.47 62.88
3521.27 3208.73 3342.61 2541.03 2672 60.4457
3524.19 3347.18 3333.31 2725.51 2690.84 61.7436
3527.11 3444.03 3379.49 2805.98 2725.94 62.6767
3530.02 3347.27 3404.25 2646.34 2744.71 61.7531
3532.94 3421.45 3416.8 2781.81 2739.13 62.4061
3535.86 3481.68 3502.49 2789.25 2817.46 63.0309
3538.78 3604.34 3575.56 2881.32 2873.18 64.0011
3541.69 3640.66 3749.05 2948.97 3034.74 64.382
3544.61 4002.16 3896.35 3273.94 3151.29 67.5887
3547.53 4046.24 3988.46 3230.95 3244.1 67.8746
3550.44 3916.99 4028.52 3227.42 3261.67 66.8513
3553.36 4122.33 4023.14 3326.65 3274.9 68.5255
3556.28 4030.1 4060.23 3270.63 3277.53 67.7761
3559.19 4028.27 4061.53 3235.3 3263.65 67.8768
3562.11 4126.22 4025.6 3285.02 3235.76 68.553
3565.03 3922.29 4047.79 3186.97 3273.41 66.8176
3567.94 4094.86 3994.6 3348.24 3272.49 68.3849
3570.86 3966.65 4071.59 3282.27 3354.19 67.1561
3573.78 4153.26 4105.98 3432.06 3399.81 68.7906
3576.69 4198.03 4162.91 3485.11 3454.84 69.1367
3579.61 4137.44 4114.22 3447.36 3402.97 68.655
3582.53 4007.17 4065.58 3276.43 3379.68 67.5064
3585.44 4052.14 4152.8 3415.25 3469.5 67.9489
3588.36 4399.1 4265.65 3716.81 3588.3 70.8174
3591.28 4345.73 4386.61 3632.83 3675.87 70.3825
3594.19 4415 4428.65 3677.98 3701.06 70.915
3597.11 4525.22 4441.86 3792.39 3712.88 71.8543
3600.03 4385.36 4452.93 3668.26 3727.39 70.641
3602.95 4448.21 4457.51 3721.52 3751.92 71.1603
3605.86 4538.96 4555.36 3866 3865.04 71.8842
3608.78 4678.9 4631.41 4007.61 3934.53 72.9604
3611.7 4676.38 4733.8 3929.99 4026.91 72.8799
3614.61 4846.12 4890.74 4143.13 4142.8 74.22
3617.53 5149.71 5032.92 4355.29 4290.02 76.5287
3620.45 5102.95 5253.83 4371.62 4458.06 76.2128
3623.36 5508.84 5310.48 4647.26 4499.95 79.1107
3626.28 5319.65 5219.58 4480.96 4400.75 77.8276
3629.19 4830.25 5164.64 4074.02 4379.15 74.0966
3632.11 5344.01 5300.55 4582.48 4528.64 77.9372
3635.03 5727.4 5602.94 4929.43 4801.9 80.735
3637.94 5737.41 5642.33 4893.77 4840.63 80.7629
3640.86 5462.19 5736.33 4698.7 4929.08 78.8375
3643.78 6009.38 5757.47 5194.78 4982.28 82.7066
3646.69 5800.83 5925.78 5053.36 5127.32 81.2014
3649.61 5967.14 5958.9 5133.83 5156.62 82.3476
3652.53 6108.71 6034.51 5282.67 5201.4 83.4005
3655.44 6027.68 6075.38 5187.7 5241.16 82.741
3658.36 6089.76 6149.47 5253.12 5322.94 83.2268
3661.28 6330.96 6265.01 5528 5433.54 84.8841
3664.19 6374.32 6429.92 5519.51 5611.9 85.1586
3667.11 6584.47 6412.34 5788.2 5576.47 86.5287
3670.03 6278.24 6323.14 5421.7 5491.41 84.509
3672.94 6106.73 6291.83 5264.33 5425.98 83.3876
3675.86 6490.54 6252.41 5591.91 5421.51 85.9374
3678.78 6159.97 6369.82 5408.28 5509.72 83.7491
3681.69 6458.96 6376.08 5528.95 5548.91 85.7095
3684.61 6509.32 6563.76 5709.5 5695.01 86.0314
3687.52 6723 6727.74 5846.59 5864.53 87.4442
3690.44 6950.91 6760.92 6037.5 5880.43 88.9214
3693.36 6608.84 6815.59 5757.22 5941.52 86.6573
3696.27 6887.02 6825.93 6029.83 5968.35 88.5156
3699.19 6981.91 6954.41 6118.01 6060.94 89.0409
3702.11 6994.31 7115.33 6034.97 6186.43 89.1651
3705.02 7369.76 7211.15 6406.32 6250.78 91.6293
3707.94 7269.38 7415.2 6311.06 6461.4 90.9098
3710.85 7606.45 7626.11 6666.81 6653.41 93.0006
3713.77 8002.51 7627.56 6982.35 6634.02 95.4121
3716.69 7273.72 7709.71 6252.91 6710.33 90.9673
3719.6 7852.9 7678.74 6895.74 6708.52 94.4932
3722.52 7909.59 8155.48 6976.9 7201.56 94.8266
3725.44 8703.93 8348.2 7732.04 7337.51 99.4848
3728.35 8431.08 8207.77 7303.6 7214.92 97.8771
3731.27 7488.29 8004.08 6609.11 7031.4 92.2554
3734.18 8092.87 8315.62 7181.48 7370.56 95.9033
